Name,University,JoinYear,Rank,Subfield,Bachelors,Masters,Doctorate,PostDoc,Sources1,Sources2,Sources3,Sources4
Nir Yosef,University of California - Berkeley,2014,Assistant,Bioinformatics & Computational Biology,Ben-Gurion University of the Negev - Israel,,Tel Aviv University - Israel,Harvard University - USA,http://niryosef.wordpress.com/,,,
Peter Bartlett,University of California - Berkeley,2001,Full,Machine Learning & Pattern Recognition,,,University of Queensland - Australia,,http://www.eecs.berkeley.edu/~krste/,,,
Pieter Abbeel,University of California - Berkeley,2008,Assistant,Artificial Intelligence,Catholic University of Leuven - Belgium,Catholic University of Leuven - Belgium,Stanford University - USA,,www.cs.berkely.edu/pabbeel/,,,
Prasad Raghavendra,University of California - Berkeley,2012,Assistant,Algorithms & Theory,Indian Institute of Technology - Madras - India,Indian Institute of Technology - Madras - India,University of Washington - USA,Microsoft Research - USA,http://www.eecs.berkeley.edu/~prasad/,,,
Randy H. Katz,University of California - Berkeley,1983,Full,Operating Systems,Cornell University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://bnrg.eecs.berkeley.edu/~randy/,,,
Ras Bodik,University of California - Berkeley,2002,Full,Programming Languages,Technical University of Košice - Slovakia,University of Pittsburgh - USA,University of Pittsburgh - USA,,http://www.eecs.berkeley.edu/Faculty/Homepages/bodik.html,,,
Richard M. Karp,University of California - Berkeley,1968,Full,Bioinformatics & Computational Biology,,,Harvard University - USA,,http://www.eecs.berkeley.edu/Faculty/Homepages/karp.html,,,
Ruzena Bajcsy,University of California - Berkeley,2001,Full,Artificial Intelligence,,Slovak University of Technology in Bratislava - Slovakia,Stanford University - USA,,http://www.eecs.berkeley.edu/~bajcsy/,,,
Satish Rao,University of California - Berkeley,1999,Full,Algorithms & Theory,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Harvard University - USA,http://www.cs.berkeley.edu/~satishr/,http://www.berkeleyside.com/wp-content/uploads/2013/04/Satish.pdf,,
Scott Shenker,University of California - Berkeley,1998,Full,Operating Systems,Brown University - USA,,University of California - Berkeley - USA,,http://www.eecs.berkeley.edu/Faculty/Homepages/shenker.html,,,
Stuart J. Russell,University of California - Berkeley,1996,Full,Artificial Intelligence,University of Oxford - United Kingdom,,Stanford University - USA,,http://www.cs.berkeley.edu/~russell/,,,
Sylvia Ratnasamy,University of California - Berkeley,2011,Assistant,Operating Systems,University of Pune - India,,University of California - Berkeley - USA,,http://www.eecs.berkeley.edu/~sylvia/,,,
Tapan S. Parikh,University of California - Berkeley,2008,Assistant,Human-Computer Interaction,Brown University - USA,University of Washington - USA,University of Washington - USA,,http://people.ischool.berkeley.edu/~parikh/,,,
Thomas Griffiths,University of California - Berkeley,2006,Associate,Artificial Intelligence,University of Western Australia - Australia,Stanford University - USA,Stanford University - USA,,http://cocosci.berkeley.edu/tom/,,,
Umesh Vazirani,University of California - Berkeley,,Full,Algorithms & Theory,Indian Institute of Technology - Delhi - India,,University of California - Berkeley - USA,,http://www.cs.berkeley.edu/~vazirani/,http://en.wikipedia.org/wiki/Umesh_Vazirani,,
Vern Paxson,University of California - Berkeley,2007,Full,Networks & Communications,,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.eecs.berkeley.edu/Faculty/Homepages/paxson.html,,,
Yun S. Song,University of California - Berkeley,,Associate,Bioinformatics & Computational Biology,Massachusetts Institute of Technology - USA,,Stanford University - USA,University of Oxford - United Kingdom,http://www.eecs.berkeley.edu/~yss/,,,
Bernd Hamann,University of California - Davis,1995,Full,Graphics,University of Braunschweig - Germany,University of Braunschweig - Germany,Arizona State University - USA,,http://graphics.cs.ucdavis.edu/~hamann/,http://www.cs.ucdavis.edu/people/faculty/hamann.html,,
Bertram Ludaescher,University of California - Davis,2004,Full,Databases,,Karlsruhe Institute of Technology - Germany,Albert Ludwigs University of Freiburg - Germany,,http://daks.ucdavis.edu/~ludaesch/,http://www.cs.ucdavis.edu/people/faculty/ludaescher.html,,
Biswanath Mukherjee,University of California - Davis,1987,Full,Networks & Communications,Indian Institute of Technology - Kharagpur - India,Southern Illinois University - USA,University of Washington - USA,,http://www.cs.ucdavis.edu/people/faculty/mukherjee.html,http://networks.cs.ucdavis.edu/~mukherje,,
Daniel M. Gusfield,University of California - Davis,1987,Full,Algorithms & Theory,,,University of California - Berkeley - USA,,http://www.cs.ucdavis.edu/people/faculty/gusfield.html,http://csiflabs.cs.ucdavis.edu/~gusfield,,
Dipak Ghosal,University of California - Davis,2004,Full,Networks & Communications,Indian Institute of Technology - Kanpur - India,Indian Institute of Science - Bangalore - India,University of Louisiana at Lafayette - USA,,http://www.cs.ucdavis.edu/people/faculty/ghosal.html,http://dipakghosal.cs.ucdavis.edu/,,
Francois Gygi,University of California - Davis,1988,Full,Scientific Computing,,,Swiss Federal Institute of Technology (ETH) - Switzerland,,http://www.cs.ucdavis.edu/people/faculty/gygi.html,http://eslab.ucdavis.edu/,,
Hao Chen,University of California - Davis,2004,Associate,Security & Privacy,Southeast University - Nanjing - China,Southeast University - Nanjing - China,University of California - Berkeley - USA,,http://www.cs.ucdavis.edu/people/faculty/chen.html,,,
Ian Davidson,University of California - Davis,2000,Full,Data Mining,,,Monash University - Australia,,http://www.cs.ucdavis.edu/people/faculty/davidson.html,http://www.cs.ucdavis.edu/~davidson/index.html,,
Ilias Tagkopoulos,University of California - Davis,2008,Assistant,Bioinformatics & Computational Biology,,,Princeton University - USA,Princeton University - USA,http://www.cs.ucdavis.edu/~iliast,,,
Karl N. Levitt,University of California - Davis,1966,Full,Security & Privacy,,,New York University - USA,,http://www.cs.ucdavis.edu/people/faculty/levitt.html,http://seclab.cs.ucdavis.edu/,,
Kennet I. Joy,University of California - Davis,,Full,Graphics,University of California - Los Angeles - USA,University of California - Los Angeles - USA,University of Colorado Boulder - USA,,http://graphics.cs.ucdavis.edu/~joy,http://www.cs.ucdavis.edu/people/faculty/joy.html,,
Kwan-Liu Ma,University of California - Davis,1999,Full,Graphics,,,University of Utah - USA,,http://www.cs.ucdavis.edu/people/faculty/ma.html,http://www.cs.ucdavis.edu/~ma,,
Matthew A. Bishop,University of California - Davis,1984,Full,Security & Privacy,University of California - Berkeley - USA,Purdue University - USA,Purdue University - USA,,http://www.cs.ucdavis.edu/people/faculty/bishop.html,http://seclab.cs.ucdavis.edu/~bishop,,
Matthew Franklin,University of California - Davis,2000,Full,Security & Privacy,Pomona College - USA,University of California - Berkeley - USA,Columbia University - USA,,http://www.cs.ucdavis.edu/~franklin,,,
Matthew K. Farrens,University of California - Davis,1989,Full,Hardware & Architecture,Nebraska Wesleyan University - USA,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,,http://american.cs.ucdavis.edu/ArchLabPersonnel/Farrens/homepage.html,http://www.cs.ucdavis.edu/people/faculty/farrens.html,,
Michael Neff,University of California - Davis,2006,Associate,Graphics,McMaster University - Canada,University of Toronto - Canada,University of Toronto - Canada,Max Planck Institut fur Informatik (MPII) - Germany,http://www.cs.ucdavis.edu/~neff/,,,
Nelson Max,University of California - Davis,1977,Full,Graphics,,,Harvard University - USA,,http://www.cs.ucdavis.edu/people/faculty/max.html,,,
Nina Amenta,University of California - Davis,,Full,Graphics,,,University of California - Berkeley - USA,,http://www.cs.ucdavis.edu/people/faculty/amenta.html,,,
Norman S. Matloff,University of California - Davis,1975,Full,Distributed & Parallel Computing,,,University of California - Los Angeles - USA,University of California - Los Angeles - USA,http://www.cs.ucdavis.edu/people/faculty/matloff.html,http://heather.cs.ucdavis.edu/nm.html,,
Patrice Koehl,University of California - Davis,2004,Full,Bioinformatics & Computational Biology,,École Centrale de Paris - France,Louis Pasteur University - France,Louis Pasteur University - France,http://www.cs.ucdavis.edu/~koehl/,,,
Phillip W. Rogaway,University of California - Davis,1994,Full,Security & Privacy,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.ucdavis.edu/people/faculty/rogaway.html,,,
Prasant Mohapatra,University of California - Davis,2001,Full,Networks & Communications,National Institute of Technology - Rourkela - India,University of Rhode Island - USA,Pennsylvania State University - USA,,http://www.cs.ucdavis.edu/~prasant/,,,
Premkumar T. Devanbu,University of California - Davis,1994,Full,Software Engineering,Indian Institute of Technology - Madras - India,,Rutgers - State University of New Jersey - New Brunswick - USA,,http://www.cs.ucdavis.edu/people/faculty/devanbu.html,,,
Raissa D'Souza,University of California - Davis,2005,Associate,Networks & Communications,,,Massachusetts Institute of Technology - USA,Bell Laboratories & Microsoft Research - USA,http://mae.engr.ucdavis.edu/dsouza,,,
Raju Pandey,University of California - Davis,,Associate,Programming Languages,Indian Institute of Technology - Kharagpur - India,University of Massachusetts - Amherst - USA,University of Texas - Austin - USA,,http://www.cs.ucdavis.edu/~pandey/,,,
Ronald A. Olsson,University of California - Davis,,Full,Programming Languages,,,University of Arizona - USA,,http://www.cs.ucdavis.edu/~olsson/,,,
S. Felix Wu,University of California - Davis,1995,Full,Security & Privacy,Tunghai University - Taiwan,Columbia University - USA,Columbia University - USA,,http://www.cs.ucdavis.edu/people/faculty/wu.html,,,
Vladimir Filkov,University of California - Davis,2002,Associate,Algorithms & Theory,,,State University of New York - Stony Brook - USA,,http://www.cs.ucdavis.edu/~filkov,,,
Xin Liu,University of California - Davis,2003,Associate,Networks & Communications,Xi'an Jiaotong University - China,Xi'an Jiaotong University - China,Purdue University - USA,University of Illinois at Urbana-Champaign - USA,http://www.cs.ucdavis.edu/~liu/,,,
Zhaojun Bai,University of California - Davis,1988,Full,Algorithms & Theory,,,Fudan University - Shanghai - China,,http://www.cs.ucdavis.edu/~bai,,,
Zhendong Su,University of California - Davis,2002,Full,Programming Languages,University of Texas - Austin - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.cs.ucdavis.edu/~su,,,
Aditi Majumder,University of California - Irvine,,Associate,Graphics,,,University of North Carolina - Chapel Hill - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=majumder,,,
Alexander Ihler,University of California - Irvine,2007,Associate,Artificial Intelligence,California Institute of Technology - USA,,Massachusetts Institute of Technology - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=aihler,,,
Alexander Nicolau,University of California - Irvine,,Full,Hardware & Architecture,,,Yale University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=anicolau,,,
Alexander Veidenbaum,University of California - Irvine,,Full,Hardware & Architecture,,,University of Illinois at Urbana-Champaign - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=aveidenb,,,
Alfred Kobsa,University of California - Irvine,,Full,Human-Computer Interaction,,,University of Vienna & Vienna University of Technology - Austria,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=kobsa,,,
Amelia C. Regan,University of California - Irvine,1997,Full,Algorithms & Theory,,Johns Hopkins University - USA,University of Texas - Austin - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=aregan,,,
Andre van der Hoek,University of California - Irvine,2000,Full,Software Engineering,Erasmus Universiteit Rotterdam - Netherlands,,University of Colorado Boulder - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=avanderh,,,
Babak Shahbaba,University of California - Irvine,,Assistant,Artificial Intelligence,,,University of Toronto - Canada,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=babaks,,,
Bill Tomlinson,University of California - Irvine,2003,Full,Human-Computer Interaction,Harvard College - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,www.ics.uci.edu/~wmt/,,,
Bonnie Nardi,University of California - Irvine,,Full,Human-Computer Interaction,,,University of California - Irvine - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=nardi,,,
Charless Fowlkes,University of California - Irvine,2007,Associate,Artificial Intelligence,California Institute of Technology - USA,,University of California - Berkeley - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=fowlkes,,,
Chen Li,University of California - Irvine,2012,Full,Databases,Tsinghua University - Beijing - China,Tsinghua University - Beijing - China,Stanford University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=chenli,,,
Cristina V. Lopes,University of California - Irvine,2002,Full,Programming Languages,Instituto Superior Tecnico - Lisbon - Portugal,Instituto Superior Tecnico - Lisbon - Portugal,Northeastern University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=lopes,,,
Dan Frost,University of California - Irvine,,Full,Artificial Intelligence,Harvard University - USA,Boston University - USA,University of California - Irvine - USA,,http://www.ics.uci.edu/~dfrost/cv.html,,,
Daniel Gillen,University of California - Irvine,,Associate,Scientific Computing,,,University of Washington - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=dgillen,,,
Daniel S. Hirschberg,University of California - Irvine,1981,Full,Algorithms & Theory,City University of New York - USA,Princeton University - USA,Princeton University - USA,,http://www.ics.uci.edu/~dan/,http://www.ics.uci.edu/~dan/vitaful13X.pdf,,
David Eppstein,University of California - Irvine,1990,Full,Algorithms & Theory,Stanford University - USA,,Columbia University - USA,Palo Alto Research Center - USA,http://www.ics.uci.edu/~eppstein/vita.pdf,http://en.wikipedia.org/wiki/David_Eppstein,,
David Redmiles,University of California - Irvine,1994,Full,Human-Computer Interaction,American University - USA,American University - USA,University of Colorado Boulder - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=dfredmil,,,
Deva Ramanan,University of California - Irvine,,Associate,Machine Learning & Pattern Recognition,,,University of California - Berkeley - USA,,http://www.ics.uci.edu/~dramanan/,,,
Donald J. Patterson,University of California - Irvine,2005,Associate,Artificial Intelligence,Cornell University - USA,,University of Washington - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=djpatter,,,
Elaheh (Eli) Bozorgzadeh,University of California - Irvine,2009,Associate,Hardware & Architecture,Sharif University of Technology - Tehran - Iran,Northwestern University - USA,University of California - Berkeley - USA,,http://www.ics.uci.edu/~eli/cv-eli.pdf,,,
Eric Mjolsness,University of California - Irvine,2002,Full,Artificial Intelligence,Washington University - St. Louis - USA,,California Institute of Technology - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=emj,,,
Gary M. Olson,University of California - Irvine,2008,Full,Human-Computer Interaction,University of Minnesota - Twin Cities - USA,,Stanford University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=golson,,,
Gene Tsudik,University of California - Irvine,,Full,Security & Privacy,,,University of Southern California - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=gtsudik,,,
Gillian R Hayes,University of California - Irvine,2007,Associate,Human-Computer Interaction,Vanderbilt University - USA,,Georgia Institute of Technology - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=hayesg,,,
Gloria Mark,University of California - Irvine,2000,Full,Human-Computer Interaction,,,Columbia University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=gmark,,,
Gopi Meenakshisundaram,University of California - Irvine,,Full,Graphics,,,University of North Carolina - Chapel Hill - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=gopi,,,
Hal Stern,University of California - Irvine,2002,Full,Artificial Intelligence,,,Stanford University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=sternh,,,
Harry Xu,University of California - Irvine,2011,Assistant,Software Engineering,East China Normal University - Shanghai - China,Ohio State University - USA,Ohio State University - USA,,http://www.ics.uci.edu/~guoqingx/,http://www.ics.uci.edu/~guoqingx/research/xu_vita.pdf,,
Hernando Ombao,University of California - Irvine,,Full,Artificial Intelligence,,,Michigan State University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=hombao,,,
Ian G. Harris,University of California - Irvine,,Associate,Hardware & Architecture,,University of California - San Diego - USA,University of California - San Diego - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=iharris,,,
Issac D. Scherson,University of California - Irvine,1990,Full,Hardware & Architecture,,,Weizmann Institute of Science - Israel,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=isaac,,,
James A. Jones,University of California - Irvine,2008,Assistant,Software Engineering,Ohio State University - USA,,Georgia Institute of Technology - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=jajones,http://jamesajones.com/,,
Jessuca Utts,University of California - Irvine,,Full,Scientific Computing,,,Pennsylvania State University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=jutts,,,
Judy Olson,University of California - Irvine,2008,Full,Human-Computer Interaction,Northwestern University - USA,,University of Michigan - USA,Stanford University - USA,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=jsolson,http://www.ics.uci.edu/~jsolson/CV-10-09-JSOlson.pdf,,
Lubomir Bic,University of California - Irvine,,Full,Networks & Communications,,,University of California - Irvine - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=lbic,,,
Magda El Zarki,University of California - Irvine,1999,Full,Multimedia,Cairo University - Cairo - Egypt,,Columbia University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=elzarki,,,
Marco Levorato,University of California - Irvine,2013,Assistant,Artificial Intelligence,University of Ferrara - Italy,University of Ferrara - Italy,University of Padua - Italy,University of Southern California - USA,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=levorato,,,
Max Welling,University of California - Irvine,2003,Full,Machine Learning & Pattern Recognition,,,Utrecht University - Netherlands,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=mwelling,,,
Michael Dillencourt,University of California - Irvine,,Full,Algorithms & Theory,,,University of Maryland - College Park - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=mbdillen,,,
Michael Franz,University of California - Irvine,1996,Full,Networks & Communications,,,Swiss Federal Institute of Technology (ETH) - Switzerland,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=franz,,,
Michael J. Carey,University of California - Irvine,2008,Full,Databases,Carnegie Mellon University - USA,Carnegie Mellon University - USA,University of California - Berkeley - USA,,http://www.ics.uci.edu/~mjcarey/index.html#index-3,,,
Michael T. Goodrich,University of California - Irvine,2001,Full,Algorithms & Theory,Calvin College - USA,Purdue University - USA,Purdue University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=goodrich,,,
Nalini Venkatasubramanian,University of California - Irvine,1998,Full,Multimedia,,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=nalini,,,
Nikil Dutt,University of California - Irvine,,Full,Hardware & Architecture,,,University of Illinois at Urbana-Champaign - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=dutt,,,
Padhraic Smyth,University of California - Irvine,1996,Full,Artificial Intelligence,National University of Ireland - Ireland,California Institute of Technology - USA,California Institute of Technology - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=pjsmyth,,,
Paul Dourish,University of California - Irvine,2000,Full,Human-Computer Interaction,University of Edinburgh - United Kingdom,,University College London - United Kingdom,,http://www.ics.uci.edu/~jpd/index-old.shtml,,,
Pierre Baldi,University of California - Irvine,1999,Full,Bioinformatics & Computational Biology,,Universite Paris X Nanterre - France,California Institute of Technology - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=pfbaldi,,,
Richard Lathrop,University of California - Irvine,1995,Full,Artificial Intelligence,Reed College - USA,,Massachusetts Institute of Technology - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=rickl,,,
Rina Dechter,University of California - Irvine,1990,Full,Artificial Intelligence,Hebrew University of Jerusalem - Israel,Weizmann Institute of Science - Israel,University of California - Los Angeles - USA,,http://www.ics.uci.edu/~dechter/biographical.html,,,
Sandy Irani,University of California - Irvine,1997,Full,Algorithms & Theory,Princeton University - USA,,University of California - Berkeley - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=ssirani,,,
Scott Jordan,University of California - Irvine,1999,Full,Networks & Communications,University of California - Berkeley - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=sjordan,,,
Sharad Mehrotra,University of California - Irvine,,Full,Databases,Indian Institute of Technology - Kanpur - India,,University of Texas - Austin - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=smehrotr,,,
Stanislaw Jarecki,University of California - Irvine,2003,Associate,Security & Privacy,Massachusetts Institute of Technology - USA,,Massachusetts Institute of Technology - USA,Stanford University - USA,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=sjarecki,,,
Tony Givargis,University of California - Irvine,,Full,Hardware & Architecture,University of California - Riverside - USA,,University of California - Riverside - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=givargis,,,
Wayne Hayes,University of California - Irvine,2010,Associate,Machine Learning & Pattern Recognition,University of Toronto - Canada,University of Toronto - Canada,University of Toronto - Canada,,http://webcache.googleusercontent.com/search?q=cache:G_rTdPsCOQIJ:www.ics.uci.edu/~wayne/Hayes-cv.ps+&cd=1&hl=en&ct=clnk&gl=in,,,
Wesley O. Johnson,University of California - Irvine,,Full,Scientific Computing,,,University of Minnesota - Twin Cities - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=wjohnson,,,
Xiaohui Xie,University of California - Irvine,,Associate,Machine Learning & Pattern Recognition,,,Massachusetts Institute of Technology - USA,,http://www.ics.uci.edu/~xhx/,,,
Yaming Yu,University of California - Irvine,,Associate,Scientific Computing,,,Harvard University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=yamingy,,,
Yunan Chen,University of California - Irvine,2008,Assistant,Human-Computer Interaction,China Medical University - China,,Drexel University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=yunanc,http://www.ics.uci.edu/~yunanc/Yunan_Chen/Welcome.html,,
Zhaixia Yu,University of California - Irvine,2007,Associate,Scientific Computing,University of Science and Technology of China - China,University of California - Davis - USA,Rice University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=yuzhaoxia,,,
Adnan Darwiche,University of California - Los Angeles,,Full,Artificial Intelligence,,Stanford University - USA,Stanford University - USA,,http://www.cs.ucla.edu/~darwiche/,,,
Alan Yuille,University of California - Los Angeles,2007,Full,Artificial Intelligence,University of Cambridge - United Kingdom,,Harvard University - USA,Smith-Kettlewell Eye Research Institute - USA,http://www.stat.ucla.edu/~yuille/,,,
Alexander Sherstov,University of California - Los Angeles,2011,Assistant,Algorithms & Theory,,,University of Texas - Austin - USA,Microsoft Research - USA,http://www.cs.ucla.edu/~sherstov/,,,
Alfonso F. Cardenas,University of California - Los Angeles,1971,Full,Databases,San Diego State University,University of California - Los Angeles - USA,University of California - Los Angeles - USA,,http://www.cs.ucla.edu/people/faculty/alfonso-cardenas,http://www.cs.ucla.edu/~cardenas/cardenas041211.html,,
Amit Sahai,University of California - Los Angeles,2004,Full,Algorithms & Theory,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.ucla.edu/~sahai/,,,
Ani Nahapetian,University of California - Los Angeles,,Adjunct,Hardware & Architecture,University of California - Los Angeles - USA,University of California - Los Angeles - USA,University of California - Los Angeles - USA,,http://www.cs.ucla.edu/~ani/,,,
Carlo Zaniolo,University of California - Los Angeles,1991,Full,Data Mining,University of Padua - Italy,University of California - Los Angeles - USA,University of California - Los Angeles - USA,,http://www.cs.ucla.edu/~zaniolo/,,,
Christopher Lee,University of California - Los Angeles,1998,Full,Bioinformatics & Computational Biology,Harvard University - USA,,Stanford University - USA,,http://www.cs.ucla.edu/people/faculty,http://www.chemistry.ucla.edu/directory/lee-christopher-j,,
D. Stott Parker,University of California - Los Angeles,1979,Full,Data Mining,Princeton University - USA,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,University of Grenoble - France,http://www.cs.ucla.edu/~stott/,,,
David Heckerman,University of California - Los Angeles,1979,Full,Bioinformatics & Computational Biology,,,University of California - Los Angeles - USA,,http://research.microsoft.com/en-us/um/people/heckerman/,http://archive.cra.org/Activities/snowbird/2008/slides/Shortliffe_Snowbird08.pdf,,
Demetri Terzopoulos,University of California - Los Angeles,2005,Full,Graphics,McGill University - Montreal - Canada,McGill University - Montreal - Canada,Massachusetts Institute of Technology - USA,,http://www.cs.ucla.edu/~dt/,http://ucla.academia.edu/DemetriTerzopoulos,,
Eleazar Eskin,University of California - Los Angeles,2006,Associate,Bioinformatics & Computational Biology,University of Chicago - USA,Columbia University - USA,Columbia University - USA,,http://www.cs.ucla.edu/~eeskin/eeskin-cv.pdf,http://www.cs.ucla.edu/~eeskin/,,
Eliezer Gafni,University of California - Los Angeles,1982,Full,Algorithms & Theory,Technion-Israel Institute of Technology - Israel,University of Illinois at Urbana-Champaign - USA,Massachusetts Institute of Technology - USA,,http://www.cs.ucla.edu/~eli/,,,
Glenn Reinman,University of California - Los Angeles,2001,Associate,Hardware & Architecture,Massachusetts Institute of Technology - USA,University of California - San Diego - USA,University of California - San Diego - USA,,http://www.cs.ucla.edu/~reinman/,,,
Jason (Jingsheng) Cong,University of California - Los Angeles,1990,Full,Hardware & Architecture,Peking University - Beijing - China,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://vast.cs.ucla.edu/people/faculty/jason-cong,http://www.cs.ucla.edu/people/faculty/jason-cong,,
Jason Ernst,University of California - Los Angeles,2012,Assistant,Algorithms & Theory,University of Maryland - College Park - USA,,Carnegie Mellon University - USA,Massachusetts Institute of Technology - USA,http://biolchem.ucla.edu/labs/ernst/people.html,,,
Jens Palsberg,University of California - Los Angeles,2004,Full,Programming Languages,,University of Aarhus - Denmark,University of Aarhus - Denmark,,http://www.cs.ucla.edu/~palsberg/,,,
Joseph Distefano III,University of California - Los Angeles,1966,Full,Bioinformatics & Computational Biology,City College of New York - USA,University of California - Los Angeles - USA,University of California - Los Angeles - USA,,http://www.cs.ucla.edu/people/faculty/joseph-distefano-iii,,,
Judea Pearl,University of California - Los Angeles,1970,Full,Artificial Intelligence,Technion-Israel Institute of Technology - Israel,Rutgers - State University of New Jersey - New Brunswick - USA,Polytechnic University - Brooklyn - New York - USA,,http://bayes.cs.ucla.edu/jp_home.html,http://bayes.cs.ucla.edu/stat_bio.html,,
Junghoo (John) Cho,University of California - Los Angeles,,Associate,World Wide Web,Seoul National University - Seoul - Korea,,Stanford University - USA,,http://oak.cs.ucla.edu/~cho/,,,
Lixia Zhang,University of California - Los Angeles,1995,Full,Networks & Communications,Massachusetts Institute of Technology - USA,,Massachusetts Institute of Technology - USA,,http://www.cs.ucla.edu/~lixia/,,,
Majid Sarrafzadeh,University of California - Los Angeles,2000,Full,Real-Time & Embedded Systems,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://www.cs.ucla.edu/~majid/,http://www.ee.ucla.edu/people/faculty/faculty-directory/majid-sarrafzadeh/?searchterm=None,,
Mani Srivastava,University of California - Los Angeles,,Full,Networks & Communications,Indian Institute of Technology - Kanpur - India,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.ee.ucla.edu/people/faculty/faculty-directory/mani-srivastava/,,,
