date,session,number,bill,question,result,description,yeatotal,naytotal 
2012-03-21,2,53,H.R. 3606,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on H.R. 3606; A bill to increase American job creation and economic growth by improving access to the public capital markets for emerging growth companies.,76,22 
2012-03-22,2,54,H.R. 3606,On the Amendment S.Amdt. 1884,Agreed to,"Merkley Amdt. No. 1884; To amend the securities laws to provide for registration exemptions for certain crowdfunded securities, and for other purposes.",64,35 
2012-03-22,2,55,H.R. 3606,On Passage of the Bill,Passed,H.R. 3606 As Amended; A bill to increase American job creation and economic growth by improving access to the public capital markets for emerging growth companies.,73,26 
2012-03-22,2,56,S. 2038,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Motion to Concur in the House Amendment to S.2038; An original bill to prohibit Members of Congress and employees of Congress from using nonpublic information derived from their official positions for personal benefit, and for other purposes.",96,3 
2012-03-22,2,57,PN735,On the Nomination,Confirmed,"Confirmation David Nuffer, of Utah, to be United States District Judge for the District of Utah",96,2 
2012-03-22,2,58,PN857,On the Nomination,Confirmed,"Confirmation Ronnie Abrams, of New York, to be U.S. District Judge for the Southern District of New York",96,2 
2012-03-26,2,59,S. 2204,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Motion to Proceed to Consider S.2204; A bill to eliminate unnecessary tax subsidies and promote renewable energy and energy conservation.,92,4 
2012-03-27,2,60,S. 1789,On the Cloture Motion,Rejected,"Motion to Invoke Cloture on the Motion to Proceed to Consider S.1789; A bill to improve, sustain, and transform the United States Postal Service.",51,46 
2012-03-28,2,61,PN865,On the Nomination,Confirmed,"Confirmation Miranda Du, of Nevada, to be U.S. District Judge",59,39 
2012-03-28,2,62,PN633,On the Nomination,Confirmed,"Confirmation Susie Morgan, of Louisiana, to be U.S. District Judge",96,1 
2012-03-29,2,63,S. 2204,On the Cloture Motion,Rejected,Motion to Invoke Cloture on S.2204; A bill to eliminate unnecessary tax subsidies and promote renewable energy and energy conservation.,51,47 
2012-04-16,2,64,PN919,On the Nomination,Confirmed,"Confirmation Stephanie Dawn Thacker, of West Virginia, to be U.S. Circuit Judge for the Fourth Circuit",91,3 
2012-04-16,2,65,S. 2230,On Cloture on the Motion to Proceed,Rejected,Motion to Invoke Cloture on the Motion to Proceed to Consider S. 2230; A bill to reduce the deficit by imposing a minimum effective tax rate for high-income taxpayers.,51,45 
2012-04-17,2,66,S. 1789,On Cloture on the Motion to Proceed,Agreed to,"Upon Reconsideration Motion to Invoke Cloture on the Motion to Proceed to Consider S. 1789; A bill to improve, sustain, and transform the United States Postal Service.",74,22 
2012-04-23,2,67,PN986,On the Nomination,Confirmed,"Confirmation Brian C. Wimes, of Missouri, to be U.S. District Judge for the Eastern and Western Districts of Missouri",92,1 
2012-04-24,2,68,S.J.Res. 36,On the Motion to Proceed,Rejected,"Motion to Proceed to Consider S. J. Res. 36; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Labor Relations Board relating to representation election procedures.",45,54 
2012-04-24,2,69,S. 1789,On the Motion S.Amdt. 2000,Agreed to,Motion to Waive All Applicable Budgetary Discipline Re: Amdt. No. 2000 As Modified; In the nature of a substitute.,62,37 
2012-04-24,2,70,S. 1789,On the Amendment S.Amdt. 2033,Rejected,McCain Amdt. No. 2033; To establish the Commission on Postal Reorganization.,30,69 
2012-04-24,2,71,S. 1789,On the Amendment S.Amdt. 2061,Rejected,Coburn Amdt. No. 2061 As Modified; To achieve long-term cost-savings by allowing the Postmaster General to reduce the postal workforce through mandatory retirements for eligible employees.,33,65 
2012-04-24,2,72,S. 1789,On the Amendment S.Amdt. 2043,Rejected,"Udall (NM) Amdt. No. 2043; To strike the limitations on changes to mail delivery schedule, with an offset.",43,56 
2012-04-24,2,73,S. 1789,On the Amendment S.Amdt. 2034,Rejected,Akaka Amdt. No. 2034; To provide appropriate workers compensation for Federal employees.,46,53 
2012-04-24,2,74,S. 1789,On the Amendment S.Amdt. 2083,Rejected,Corker Amdt. No. 2083; To improve the bill.,29,70 
2012-04-24,2,75,S. 1789,On the Amendment S.Amdt. 2049,Rejected,"Akaka Amdt. No. 2049; To allow supervisory and other managerial organizations to participate in the planning and development of changes in, or termination of, pay policies and schedules and fringe benefit programs.",57,42 
2012-04-24,2,76,S. 1789,On the Amendment S.Amdt. 2025,Rejected,Paul Amdt. No. 2025; To end the mailbox use monopoly.,35,64 
2012-04-25,2,77,S. 1789,On the Amendment S.Amdt. 2079,Rejected,"Manchin Amdt. No. 2079; To extend the moratorium on the closing and consolidation of postal facilities or post offices, stations, or branches.",43,53 
2012-04-25,2,78,S. 1789,On the Amendment S.Amdt. 2028,Rejected,Paul Amdt. No. 2028; To establish a pilot program to test alternative methods for the delivery of postal services.,35,64 
2012-04-25,2,79,S. 1789,On the Amendment S.Amdt. 2039,Rejected,Paul Amdt. No. 2039; To prohibit employees of the United States Postal Service from engaging in collective bargaining.,23,76 
2012-04-25,2,80,S. 1789,On the Amendment S.Amdt. 2042,Rejected,Casey Amdt. No. 2042; To maintain current delivery time for market-dominant products.,44,54 
2012-04-25,2,81,S. 1789,On the Amendment S.Amdt. 2046,Rejected,DeMint Amdt. No. 2046; To provide protections for postal workers with respect to their right not to subsidize union nonrepresentational activities.,46,53 
2012-04-25,2,82,S. 1789,On Passage of the Bill,Passed,"S. 1789 as Amended; A bill to improve, sustain, and transform the United States Postal Service.",62,37 
2012-04-26,2,83,PN920,On the Nomination,Confirmed,"Confirmation Gregg Jeffrey Costa, of Texas, to be U.S. District Judge for the Southern District of Texas",97,2 
2012-04-26,2,84,S. 1925,On the Amendment S.Amdt. 2094,Rejected,Klobuchar Amdt. No. 2094; To provide Debbie Smith grants for auditing sexual assault evidence backlogs.,57,41 
2012-04-26,2,85,S. 1925,On the Amendment S.Amdt. 2086,Rejected,Cornyn Amdt. No. 2086; To amend title 18 of the United States Code and other provisions of law to strengthen provisions of the Violence Against Women Act and improve justice for crime victims.,50,48 
2012-04-26,2,86,S. 1925,On the Amendment S.Amdt. 2095,Rejected,Hutchison Amdt. No. 2095; In the nature of a substitute.,37,62 
2012-04-26,2,87,S. 1925,On Passage of the Bill,Passed,S. 1925 as Amended; A bill to reauthorize the Violence Against Women Act of 1994.,68,31 
2012-05-07,2,88,PN985,On the Nomination,Confirmed,"Confirmation Jacqueline H. Nguyen, of California, to be U.S. Circuit Judge for the Ninth Circuit",91,3 
2012-05-08,2,89,S. 2343,On Cloture on the Motion to Proceed,Rejected,"Motion to Invoke Cloture on the Motion to Proceed to Consider S. 2343; A bill to amend the Higher Education Act of 1965 to extend the reduced interest rate for Federal Direct Stafford Loans, and for other purposes.",52,45 
2012-05-14,2,90,PN1118,On the Nomination,Confirmed,"Confirmation John J. Tharp, Jr., of Illinois, to be United States District Judge for the Northern District of Illinois",86,1 
2012-05-15,2,91,H.R. 2072,On the Amendment S.Amdt. 2100,Rejected,Lee Amdt. No. 2100; To phase out the authority of the Export-Import Bank of the United States and to require the President to initiate negotiations with other major exporting countries to end subsidized export financing programs.,12,86 
2012-05-15,2,92,H.R. 2072,On the Amendment S.Amdt. 2101,Rejected,Paul Amdt. No. 2101; To prohibit the Export-Import Bank of the United States from providing financing to a person or for a project in a country the government or central bank of which holds debt instruments of the United States.,9,89 
2012-05-15,2,93,H.R. 2072,On the Amendment S.Amdt. 2102,Rejected,Corker Amdt. No. 2102; To require the Export-Import Bank of the United States to provide financing only for transactions subsidized by export credit agencies of other countries or for which private sector financing is unavailable or prohibitively expensive and to require the Bank to maintain a ratio of capital to the outstanding principal balance of loans and loan guarantees of not less than 10 percent.,36,62 
2012-05-15,2,94,H.R. 2072,On the Amendment S.Amdt. 2103,Rejected,"Vitter Amdt. No. 2103; To clarify the requirement that the Export-Import Bank of the United States not make or guarantee loans that are subordinate to other loans, to restrict financing of certain fossil fuel projects in foreign countries, and to prohibit financing of renewable energy products manufactured in foreign countries.",37,61 
2012-05-15,2,95,H.R. 2072,On the Amendment S.Amdt. 2104,Rejected,"Toomey Amdt. No. 2104; To prohibit an increase in the lending authority of the Export-Import Bank of the United States to more than $100,000,000,000 until the Secretary of the Treasury certifies that the Secretary has initiated international negotiations to eliminate export financing programs and to prohibit an increase in that lending authority to more than $120,000,000,000 until a multilateral agreement to eliminate export financing programs has been completed.",35,63 
2012-05-15,2,96,H.R. 2072,On Passage of the Bill,Passed,"H.R. 2072; A bill to reauthorize the Export-Import Bank of the United States, and for other purposes.",78,20 
2012-05-16,2,97,S.Con.Res. 41,On the Motion to Proceed,Rejected,"Motion to Proceed to Consider S. Con. Res. 41; A concurrent resolution setting forth the President's budget request for the United States Government for fiscal year 2013, and setting forth the appropriate budgetary levels for fiscal years 2014 through 2022.",0,99 
2012-05-16,2,98,H.Con.Res. 112,On the Motion to Proceed,Rejected,Motion to Proceed to Consider H.Con.Res. 112; A concurrent resolution establishing the budget for the United States Government for fiscal year 2013 and setting forth appropriate budgetary levels for fiscal years 2014 through 2022.,41,58 
2012-05-16,2,99,S.Con.Res. 37,On the Motion to Proceed,Rejected,"Motion to Proceed to Consider S.Con.Res. 37; A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2013, and setting forth the appropriate budgetary levels for fiscal years 2014 through 2022.",42,57 
2012-05-16,2,100,S.Con.Res. 42,On the Motion to Proceed,Rejected,"Motion to Proceed to Consider S.Con.Res. 42; A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2013, revising the appropriate budgetary levels for fiscal year 2012, and setting forth the appropriate budgetary levels for fiscal years 2013 through 2022.",16,83 
2012-05-16,2,101,S.Con.Res. 44,On the Motion to Proceed,Rejected,Motion to Proceed to Consider S.Con.Res. 44; A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2013 and setting forth the appropriate budgetary levels for fiscal years 2014 through 2022.,17,82 
2012-05-17,2,102,PN1225,On the Nomination,Confirmed,"Jeremy C. Stein, of MA, to be a Member of the Board of Governors of the Federal Reserve System",70,24 
2012-05-17,2,103,PN1226,On the Nomination,Confirmed,"Jerome H. Powell, of Maryland, to be a Member of the Board of Governors of the Federal Reserve System",74,21 
2012-05-21,2,104,PN1049,On the Nomination,Confirmed,"Confirmation Paul J. Watford, of California, to be United States Circuit Judge for the Ninth Circuit",61,34 
2012-05-24,2,105,S. 3187,On the Amendment S.Amdt. 2111,Rejected,"Bingaman Amdt. No. 2111; To provide substantial savings in health care costs to the Federal government and consumers by fostering competition among generic pharmaceutical manufacturers and ensuring that anti-competitive ""pay-for-delay"" settlements between brand-name and generic pharmaceutical manufacturers do not block generic drugs from entering the market.",28,67 
2012-05-24,2,106,S. 3187,On the Amendment S.Amdt. 2108,Rejected,Murkowski Amdt. No. 2108; To prohibit approval by the Food and Drug Administration of genetically engineered fish unless the National Oceanic and Atmospheric Administration concurs with such approval.,46,50 
2012-05-24,2,107,S. 3187,On the Motion to Table S.Amdt. 2143,Agreed to,"Motion to Table Paul Amdt. No. 2143; To amend the Federal Food, Drug, and Cosmetic Act concerning claims about the effects of foods and dietary supplements on health-related conditions and disease, to prohibit employees of the Food and Drug Administration from carrying firearms and making arrests without warrants, and to adjust the mens rea of certain prohibited acts under the Federal Food, Drug, and Cosmetic Act to knowing and willful.",78,15 
2012-05-24,2,108,S. 3187,On the Amendment S.Amdt. 2107,Rejected,McCain Amdt. No. 2107; To allow the importation by individuals of safe and affordable drugs from Canada.,43,54 
2012-05-24,2,109,S. 3187,On the Amendment S.Amdt. 2109,Rejected,"Sanders Amdt. No. 2109; To revoke the exclusivity of certain entities that are responsible for violations of the Federal Food, Drug, and Cosmetic Act, the False Claims Act, and other certain laws.",9,88 
2012-05-24,2,110,S. 3187,On the Motion to Table S.Amdt. 2127,Agreed to,Motion to Table Durbin Amdt. No. 2127; To require manufacturers of dietary supplements to register dietary supplement products with the Food and Drug Administration.,77,20 
2012-05-24,2,111,S. 3187,On Passage of the Bill,Passed,"S. 3187 As Amended; A bill to amend the Federal Food, Drug, and Cosmetic Act to revise and extend the user-fee programs for prescription drugs and medical devices, to establish user-fee programs for generic drugs and biosimilars, and for other purposes.",96,1 
2012-05-24,2,112,S. 2343,On the Amendment S.Amdt. 2153,Rejected,Alexander Amdt. No. 2153; In the nature of a substitute.,34,62 
2012-05-24,2,113,S. 2343,On Passage of the Bill,Rejected,"S. 2343; A bill to amend the Higher Education Act of 1965 to extend the reduced interest rate for Federal Direct Stafford Loans, and for other purposes.",51,43 
2012-06-04,2,114,PN1131,On the Nomination,Confirmed,"Confirmation Timothy S. Hillman, of Massachusetts, to be U.S. District Judge",88,1 
2012-06-05,2,115,S. 3220,On Cloture on the Motion to Proceed,Rejected,"Motion to Invoke Cloture on the Motion to Proceed to Consider S. 3220; A bill to amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex, and for other purposes.",52,47 
2012-06-06,2,116,PN525,On the Nomination,Confirmed,"Confirmation Jeffrey J. Helmick, of Ohio, to be U.S. District Judge",62,36 
2012-06-07,2,117,S. 3240,On Cloture on the Motion to Proceed,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to S. 3240; An original bill to reauthorize agricultural programs through 2017, and for other purposes.",90,8 
2012-06-11,2,118,PN1104,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture Andrew David Hurwitz, of Arizona, to be U.S. Circuit Judge for the Ninth Circuit",60,31 
2012-06-13,2,119,S. 3240,On the Motion to Table S.Amdt. 2393,Agreed to,Motion to Table Amdt. No. 2393; To phase out the Federal sugar program.,50,46 
2012-06-13,2,120,S. 3240,On the Motion to Table S.Amdt. 2392,Agreed to,"Motion to Table Amdt. No. 2392; To empower States with programmatic flexibility and predictability to administer a supplemental nutrition assistance block grant program under which, at the request of a State agency, eligible households within the State may receive an adequate, or more nutritious, diet.",65,33 
2012-06-14,2,121,PN267,On the Cloture Motion,Agreed to,"Upon Reconsideration, Motion to Invoke cloture on the Nomination of Mari Carmen Aponte to be Ambassador to the Republic of El Salvador",62,37 
2012-06-18,2,122,PN349,On the Nomination,Confirmed,"Confirmation Mary Geiger Lewis, of South Carolina, to be U.S. District Judge for the District of South Carolina",64,27 
2012-06-19,2,123,S. 3240,On the Amendment S.Amdt. 2192,Rejected,Ayotte Amdt. No. 2192; To improve the program of value-added agricultural producer grants.,38,61 
2012-06-19,2,124,S. 3240,On the Amendment S.Amdt. 2190,Agreed to,Snowe Amdt. No. 2190 As Modified; To require Federal milk marketing order reform.,66,33 
2012-06-19,2,125,S. 3240,On the Amendment S.Amdt. 2167,Agreed to,Grassley Amdt. No. 2167; To provide payment limitations for marketing loan gains and loan deficiency payments.,75,24 
2012-06-19,2,126,S. 3240,On the Amendment S.Amdt. 2445,Agreed to,Brown (OH) Amdt. No. 2445; To strengthen rural communities and foster the next generation of farmers and ranchers.,55,44 
2012-06-19,2,127,S. 3240,On the Amendment S.Amdt. 2174,Rejected,Sessions Amdt. No. 2174; To limit categorical eligibility for the supplemental nutrition assistance program to those who receive cash assistance.,43,56 
2012-06-19,2,128,S. 3240,On the Amendment S.Amdt. 2370,Agreed to,Cantwell Amdt. No. 2370; To encourage the purchase of pulse crop products for school meals programs.,58,41 
2012-06-19,2,129,S. 3240,On the Amendment S.Amdt. 2172,Rejected,Sessions Amdt. No. 2172; To end the State bonus payments for administering the supplemental nutrition assistance programs.,41,58 
2012-06-19,2,130,S. 3240,On the Amendment S.Amdt. 2238,Agreed to,Casey Amdt. No. 2238; To require more frequent dairy reporting.,73,26 
2012-06-19,2,131,S. 3240,On the Amendment S.Amdt. 2181,Rejected,"Paul Amdt. No. 2181; To establish an average adjusted gross income limitation of $250,000 for all payments and benefits under the Farm Bill.",15,84 
2012-06-19,2,132,S. 3240,On the Amendment S.Amdt. 2191,Rejected,"Alexander Amdt. No. 2191; To provide that any cooperative organization or other entity that receives a business and industry direct or guaranteed loan for a wind energy project is ineligible for any other Federal benefit, assistance, or incentive for the project.",33,66 
2012-06-19,2,133,S. 3240,On the Amendment S.Amdt. 2309,Agreed to,Feinstein Amdt. No. 2309; To require a study into the feasibility of an insurance product that covers food safety recalls.,76,23 
2012-06-19,2,134,S. 3240,On the Amendment S.Amdt. 2217,Rejected,Toomey Amdt. No. 2217; To eliminate the organic certification cost share assistance program.,42,57 
2012-06-19,2,135,S. 3240,On the Amendment S.Amdt. 2156,Rejected,"Gillibrand Amdt. No. 2156 As Modified; To strike a reduction in the supplemental nutrition assistance program and increase funding for the fresh fruit and vegetable program, with an offset that limits crop insurance reimbursements to providers.",33,66 
2012-06-19,2,136,S. 3240,On the Amendment S.Amdt. 2263,Rejected,DeMint Amdt. No. 2263; To maintain funding at current levels for programs providing access to broadband telecommunications services in rural areas.,45,54 
2012-06-19,2,137,S. 3240,On the Amendment S.Amdt. 2268,Rejected,DeMint Amdt. No. 2268; To prohibit the Secretary from making loan guarantees.,14,84 
2012-06-19,2,138,S. 3240,On the Amendment S.Amdt. 2276,Rejected,DeMint Amdt. No. 2276; To prohibit mandatory or compulsory check off programs.,20,79 
2012-06-20,2,139,S.J.Res. 37,On the Motion to Proceed,Rejected,Motion to Proceed to Consider S. J. Res. 37; A joint resolution to disapprove a rule promulgated by the Administrator of the Environmental Protection Agency relating to emission standards for certain steam generating units.,46,53 
2012-06-20,2,140,S. 3240,On the Amendment S.Amdt. 2382,Agreed to,Merkley Amdt. No. 2382; To require the Federal Crop Insurance Corporation to provide crop insurance for organic crops under similar terms and conditions to crop insurance provided for other crops.,63,36 
2012-06-20,2,141,S. 3240,On the Amendment S.Amdt. 2273,Rejected,DeMint Amdt. No. 2273; To eliminate the authority of the Secretary to increase the amount of grants provided to eligible entities relating to providing access to broadband telecommunications services in rural areas.,44,55 
2012-06-20,2,142,S. 3240,On the Amendment S.Amdt. 2289,Rejected,"Coburn Amdt. No. 2289; To reduce funding for the market access program and to prohibit the use of funds for reality television shows, wine tastings, animal spa products, and cat or dog food.",30,69 
2012-06-20,2,143,S. 3240,On the Amendment S.Amdt. 2293,Agreed to,Coburn Amdt. No. 2293; To limit subsidies for millionaires.,62,37 
2012-06-20,2,144,S. 3240,On the Amendment S.Amdt. 2454,Agreed to,Kerry Amdt. No. 2454; To prohibit assistance to North Korea under title II of the Food for Peace Act unless the President issues a national interest waiver.,59,40 
2012-06-20,2,145,S. 3240,On the Amendment S.Amdt. 2354,Rejected,Kyl Amdt. No. 2354; To prohibit assistance to North Korea under title II of the Food for Peace Act.,43,56 
2012-06-20,2,146,S. 3240,On the Amendment S.Amdt. 2295,Agreed to,Udall (CO) Amdt. No. 2295; To increase the amounts authorized to be appropriated for the designation of treatment areas.,77,22 
2012-06-20,2,147,S. 3240,On the Amendment S.Amdt. 2313,Rejected,Lee Amdt. No. 2313; To repeal the forest legacy program.,21,77 
2012-06-20,2,148,S. 3240,On the Amendment S.Amdt. 2314,Rejected,Lee Amdt. No. 2314; To repeal the conservation stewardship program and the conservation reserve program.,15,84 
2012-06-20,2,149,S. 3240,On the Amendment S.Amdt. 2360,Rejected,"Boozman Amdt. No. 2360 As Modified; To provide for emergency food assistance, and for other purposes.",35,63 
2012-06-20,2,150,S. 3240,On the Amendment S.Amdt. 2226,Rejected,"Toomey Amdt. No. 2226; To eliminate biorefinery, renewable chemical, and biobased product manufacturing assistance.",36,63 
2012-06-20,2,151,S. 3240,On the Amendment S.Amdt. 2433,Rejected,Toomey Amdt. No. 2433; To reform the sugar program.,46,53 
2012-06-20,2,152,S. 3240,On the Motion to Recommit,Rejected,"Lee Motion to Recommit with Instructions; An original bill to reauthorize agricultural programs through 2017, and for other purposes.",29,70 
2012-06-20,2,153,S. 3240,On the Motion,Rejected,"Johnson (WI) Motion to Recommit with Instructions; An original bill to reauthorize agricultural programs through 2017, and for other purposes.",40,59 
2012-06-20,2,154,S. 3240,On the Amendment S.Amdt. 2363,Agreed to,"Vitter Amdt. No. 2363 As Modified; To ensure that extras in film and television who bring personal, common domesticated household pets do not face unnecessary regulations and to prohibit attendance at an animal fighting venture.",88,11 
2012-06-20,2,155,S. 3240,On the Amendment S.Amdt. 2438,Agreed to,Chambliss Amdt. No. 2438; To establish highly erodible land and wetland conservation compliance requirements for the Federal crop insurance program.,52,47 
2012-06-20,2,156,S. 3240,On the Amendment S.Amdt. 2437,Rejected,"Thune Amdt. No. 2437; To limit the amount of premium subsidy provided by the Federal Crop Insurance Corporation on behalf of any person or legal entity with an average adjusted gross income in excess of $750,000, with a delayed application of the limitation until completion of a study on the effects of the limitation.",44,55 
2012-06-20,2,157,S. 3240,On the Amendment S.Amdt. 2439,Agreed to,"Coburn Amdt. No. 2439; To limit the amount of premium subsidy provided by the Federal Crop Insurance Corporation on behalf of any person or legal entity with an average adjusted gross income in excess of $750,000 with a delayed application of the limitation until completion of a study on the effects of the limitation.",66,33 
2012-06-21,2,158,S. 3240,On the Amendment S.Amdt. 2456,Rejected,Boxer Amdt. No. 2456; Of a perfecting nature.,47,48 
2012-06-21,2,159,S. 3240,On the Amendment S.Amdt. 2372,Rejected,Johanns Amdt. No. 2372; To prohibit the Administrator of the Environmental Protection Agency from conducting aerial surveillance to inspect agricultural operations or to record images of agricultural operations.,56,43 
2012-06-21,2,160,S. 3240,On the Amendment S.Amdt. 2247,Rejected,Toomey Amdt. No. 2247; To reduce unnecessary paperwork burdens on community water systems.,58,41 
2012-06-21,2,161,S. 3240,On the Amendment S.Amdt. 2310,Rejected,"Sanders Amdt. No. 2310; To permit States to require that any food, beverage, or other edible product offered for sale have a label on indicating that the food, beverage, or other edible product contains a genetically engineered ingredient.",26,73 
2012-06-21,2,162,S. 3240,On the Amendment S.Amdt. 2214,Agreed to,"Coburn Amdt. No. 2214; To amend the Internal Revenue Code of 1986 to prohibit the use of public funds for political party conventions, and to provide for the return of previously distributed funds for deficit reduction.",95,4 
2012-06-21,2,163,S. 3240,On the Amendment S.Amdt. 2166,Rejected,Rubio Amdt. No. 2166; To amend the National Labor Relations Act to permit employers to pay higher wages to their employees.,45,54 
2012-06-21,2,164,S. 3240,On Passage of the Bill,Passed,"S. 3240 As Amended; An original bill to reauthorize agricultural programs through 2017, and for other purposes.",64,35 
2012-06-21,2,165,S. 1940,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to S. 1940; An original bill to amend the National Flood Insurance Act of 1968, to restore the financial solvency of the flood insurance fund, and for other purposes.",96,2 
2012-06-25,2,166,S. 3187,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Motion to Concur in the House Amendment to S. 3187; A bill to amend the Federal Food, Drug, and Cosmetic Act to revise and extend the user-fee programs for prescription drugs and medical devices, to establish user-fee programs for generic drugs and biosimilars, and for other purposes.",89,3 
2012-06-26,2,167,PN1132,On the Nomination,Confirmed,"Confirmation Robin S. Rosenbaum, of Florida, to be U.S. District Judge for the Southern District of Florida",92,3 
2012-06-26,2,168,S. 3187,On the Motion,Agreed to,"Motion to Concur in the House Amendment to Accompany S. 3187; A bill to amend the Federal Food, Drug, and Cosmetic Act to revise and extend the user-fee programs for prescription drugs and medical devices, to establish user-fee programs for generic drugs and biosimilars, and for other purposes.",92,4 
2012-06-29,2,169,H.R. 4348,On the Motion,Agreed to,"Motion to Waive Paragraph 9 of Rule 28; Amended during conference: ""An act to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.""",72,22 
2012-06-29,2,170,H.R. 4348,On the Motion,Agreed to,"Motion to Waive Paragraph 3 of Rule 28; Amended during conference: ""An act to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.""",66,28 
2012-06-29,2,171,H.R. 4348,On the Motion,Agreed to,"Motion to Waive All Applicable Budgetary Discipline; Amended during conference: ""An act to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.""",63,30 
2012-06-29,2,172,H.R. 4348,On the Conference Report,Agreed to,"Conference Report to Accompany H.R. 4348; Amended during conference: ""An act to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.""",74,19 
2012-07-10,2,173,PN1196,On the Nomination,Confirmed,"Confirmation John Thomas Fowlkes, Jr., of Tennessee, to be U.S. District Judge for the Western District of Tennessee",94,2 
2012-07-10,2,174,S. 2237,On Cloture on the Motion to Proceed,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to S. 2237; A bill to provide a temporary income tax credit for increased payroll and extend bonus depreciation for an additional year, and for other purposes.",80,14 
2012-07-12,2,175,S. 2237,On the Motion to Table S.Amdt. 2524,Agreed to,Motion to Table Reid Amdt. No. 2524; Of a perfecting nature.,73,24 
2012-07-12,2,176,S. 2237,On the Cloture Motion S.Amdt. 2521,Rejected,Motion to Invoke Cloture Re: Landrieu Amdt. No. 2521; In the nature of a substitute.,57,41 
2012-07-12,2,177,S. 2237,On the Cloture Motion,Rejected,"Motion to Invoke Cloture on S. 2237; A bill to provide a temporary income tax credit for increased payroll and extend bonus depreciation for an additional year, and for other purposes.",53,44 
2012-07-16,2,178,PN1197,On the Nomination,Confirmed,"Confirmation Kevin McNulty, of New Jersey, to be U.S. District Judge for the District of New Jersey",91,3 
2012-07-16,2,179,S. 3369,On Cloture on the Motion to Proceed,Rejected,"Motion to Invoke Cloture on the Motion to Proceed to S.3369; A bill to amend the Federal Election Campaign Act of 1971 to provide for additional disclosure requirements for corporations, labor organizations, Super PACs and other entities, and for other purposes.",51,44 
2012-07-17,2,180,S. 3369,On Cloture on the Motion to Proceed,Rejected,"Upon Reconsideration Motion to Invoke Cloture on the Motion to Proceed to Consider S.3369; A bill to amend the Federal Election Campaign Act of 1971 to provide for additional disclosure requirements for corporations, labor organizations, Super PACs and other entities, and for other purposes.",53,45 
2012-07-19,2,181,S. 3364,On Cloture on the Motion to Proceed,Rejected,Motion to Invoke Cloture on the Motion to Proceed to S. 3364; A bill to provide an incentive for businesses to bring jobs back to America.,56,42 
2012-07-23,2,182,PN1203,On the Nomination,Confirmed,"Confirmation Michael A. Shipp, of New Jersey, to be U.S. District Judge for the District of New Jersey",91,1 
2012-07-25,2,183,S. 3412,On the Amendment S.Amdt. 2573,Rejected,Hatch-McConnell Amdt. No. 2573; In the nature of a substitute.,45,54 
2012-07-25,2,184,S. 3412,On Passage of the Bill,Passed,S. 3412; A bill to amend the Internal Revenue Code of 1986 to provide tax relief to middle-class families.,51,48 
2012-07-26,2,185,S. 3414,On Cloture on the Motion to Proceed,Agreed to,Motion to Invoke Cloture on the Motion to Proceed to S. 3414; A bill to enhance the security and resiliency of the cyber and communications infrastructure of the United States.,84,11 
2012-07-30,2,186,PN1201,On the Cloture Motion,Rejected,"Motion to Invoke Cloture on the Nomination of Robert E. Bacharach of Oklahoma, to be United States Circuit Judge for the 10th Circuit",56,34 
2012-08-02,2,187,S. 3414,On the Cloture Motion,Rejected,Motion to Invoke Cloture on S. 3414; A bill to enhance the security and resiliency of the cyber and communications infrastructure of the United States.,52,46 
2012-08-02,2,188,S. 3326,On the Amendment S.Amdt. 2771,Rejected,Coburn Amdt. No. 2771; In the nature of a substitute.,40,58 
2012-08-02,2,189,PN1123,On the Nomination,Confirmed,"Confirmation Gershwin A. Drain, of Michigan, to be U.S. District Judge for the Eastern District of Michigan",55,41 
2012-09-10,2,190,PN1342,On the Nomination,Confirmed,"Confirmation Stephanie Marie Rose, of Iowa, to be U.S. District Judge",89,1 
2012-09-11,2,191,S. 3457,On Cloture on the Motion to Proceed,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to S. 3457; A bill to require the Secretary of Veterans Affairs to establish a veterans jobs corps, and for other purposes.",95,1 
2012-09-12,2,192,S. 3457,On the Motion to Proceed,Agreed to,"Motion to Proceed to Consider S.3457; A bill to require the Secretary of Veterans Affairs to establish a veterans jobs corps, and for other purposes.",84,8 
