Movie Title,Passes Bechdel Test?,Number of Criteria Passed,Clarity of Pass,Has at least two [named] women in it,The women talk to each other,The women talk about something besides a man,Genre,Director,Main Actors,Production Company,Plot Keywords (top 10),Year,Rating,Runtime (min),Plot,Language,Country,Image,IMDb Popularity Score,Award Popularity,IMDb rating,IMDb votes,Nominations,Wins,IMDB Link
Like Crazy (2011),Yes,3,Clear,Pass,Pass,Pass,"Drama, Romance",Drake Doremus,"Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley","Paramount Pictures, Indian Paintbrush, Super Crispy Entertainment","student visa, customs, immigration, nubile woman, parting, girlfriend, champagne, parents, whiskey, bedroom",2011,"Parental guidance, Unsuitable for children under 13",90,"A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.",English,United States,http://ia.media-imdb.com/images/M/MV5BMjAzOTgyOTU4OF5BMl5BanBnXkFtZTcwNDYxMjcxNg@@._V1_SX300.jpg,249923,50,6.7,"37,302",5,9,http://www.imdb.com/title/tt1758692/
Limitless (2011),No,1,,Pass,Fail,Fail,"Mystery, Sci-Fi, Thriller",Neil Burger,"Bradley Cooper, Robert De Niro, Abbie Cornish, Andrew Howard","Relativity Media, Virgin Produced, Rogue","writer, drug, pills, experimental drug, apartment, limping, blacking out, outnumbered, playing the stock market, gulfstream 450 business jet",2011,"Parental guidance, Unsuitable for children under 13",105,"With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.","English, Russian, Italian, Mandarin, French",United States,http://ia.media-imdb.com/images/M/MV5BMTY3NjczNzc5Nl5BMl5BanBnXkFtZTcwMzA2MzQyNA@@._V1_SX300.jpg,2443732,17,7.4,"330,234",7,2,http://www.imdb.com/title/tt1219289/
Lincoln (2012),Yes,3,Clear,Pass,Pass,Pass,"Biography, Drama, History",Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","DreamWorks, Twentieth Century Fox, Reliance Entertainment","politics, slavery, u.s. president, civil war, republican, constitutional amendment, american civil war, battlefield, british actor playing american character, surname as title",2012,"Parental guidance, Unsuitable for children under 13",150,"As the Civil War continues to rage, America's president struggles with continuing carnage on the battlefield and as he fights with many inside his own cabinet on the decision to emancipate the slaves.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTQzNzczMDUyNV5BMl5BanBnXkFtZTcwNjM2ODEzOA@@._V1_SX300.jpg,1222524,740,7.4,"165,206",170,114,http://www.imdb.com/title/tt0443272/
Little Birds (2011),Yes,3,Clear,Pass,Pass,Pass,Drama,Elgin James,"Juno Temple, Kay Panabaker, Kate Bosworth, Neal McDonough","Polsky Films, Hunting Lane Films, Sundial Pictures","attempted rape, sex scene, female nudity, salton sea, friendship, juvenile delinquent, runaway, title based on song",2011,Restricted,94,Lily and Alison face a life-changing event after they leave their Salton Sea home and follow the boys they meet back to Los Angeles.,English,United States,http://ia.media-imdb.com/images/M/MV5BMTM2MjYwNDQyMV5BMl5BanBnXkFtZTcwOTQ4OTM2Nw@@._V1_SX300.jpg,19660,12,6.2,"3,171",2,2,http://www.imdb.com/title/tt1623745/
Little White Lies (2010),Yes,3,Clear,Pass,Pass,Pass,"Comedy, Drama",Guillaume Canet,"François Cluzet, Marion Cotillard, Benoît Magimel, Gilles Lellouche","Les Productions du Trésor, EuropaCorp, Caneo Films","unrequited love, friend, vacation, secret, restaurant, hospital, beach, friendship, group of friends, accident",2010,Not Rated,154,A near-fatal accident leaves one friend in the hospital while the rest go on their annual vacation. But their secrets and personal grief threaten to drive them apart.,French,France,http://ia.media-imdb.com/images/M/MV5BMTM1Mjg2MDYyMF5BMl5BanBnXkFtZTcwMDk1NjYxOA@@._V1_SX300.jpg,106675,4,7.2,"14,816",4,,http://www.imdb.com/title/tt1440232/
Lizzie Borden Took An Ax (2014),Yes,3,Clear,Pass,Pass,Pass,"Crime, Drama, Mystery",Nick Gomez,"Christina Ricci, Clea DuVall, Gregg Henry, Stephen McHattie",Sony Pictures,"murder, sunday school teacher, massachusetts, jumping rope, nursery rhyme, axe murder, murder trial, not guilty verdict, spattered with blood, fainting",2014,"Parental guidance, Unsuitable for children under 14",91,"The true story of Lizzie Borden, a young woman tried and acquitted in the 1892 murders of her father and stepmother.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTk0NTYyNTk2M15BMl5BanBnXkFtZTgwNTg4ODEwMTE@._V1_SX300.jpg,11411,1,5.7,"2,002",1,,http://www.imdb.com/title/tt3118958/
Lloyd the Conqueror (2011),No,2,,Pass,Pass,Fail,Comedy,Michael Peterson,"Brian Posehn, Mike Smith, Evan Williams, Jesse Reid","Fresh Dog Productions, Matt Kelly Films","live action role playing, larping",2011,Restricted,95,"Three male college students, must do battle against Derek the Unholy, a dark wizard who is determined to hold onto his title as champion of the Larpers.",English,Canada,http://ia.media-imdb.com/images/M/MV5BMTg4ODE3OTY0OV5BMl5BanBnXkFtZTcwNzIzNjExOA@@._V1_SX300.jpg,1385,10,5.7,243,,2,http://www.imdb.com/title/tt1675439/
Locke (2013),No,0,,Fail,Fail,Fail,Drama,Steven Knight,"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott","IM Global, Shoebox Films","cheating husband, written by director, driving, construction site, project manager, problem solver, calm in a crisis, driving at night, driving while on a cell phone, marital trouble",2013,Restricted,85,"Ivan Locke, a dedicated family man and successful construction manager, receives a phone call on the eve of the biggest challenge of his career that sets in motion a series of events that threaten his careful cultivated existence.",English,"United Kingdom, United States",http://ia.media-imdb.com/images/M/MV5BMTQ1MjE5MzU2M15BMl5BanBnXkFtZTgwNzE4OTMzMTE@._V1_SX300.jpg,271831,9,7.1,"38,286",4,1,http://www.imdb.com/title/tt2692904/
London Boulevard (2010),No,1,,Pass,Fail,Fail,"Crime, Drama",William Monahan,"Colin Farrell, Keira Knightley, David Thewlis, Anna Friel","GK Films, Henceforth, Projection Pictures","actress, revenge, love, london underground, paparazzi, river thames, critically bashed, scene during end credits, violent youth, stabbed in the side",2010,Restricted,103,An ex-con with a reputation tries to go straight by working as a handy man for a reclusive actress but this is unfortunately not the wish of London's underground crime lord.,English,"United States, United Kingdom",http://ia.media-imdb.com/images/M/MV5BMjA1OTk2NTI4NF5BMl5BanBnXkFtZTcwOTA5NTE5Ng@@._V1_SX300.jpg,221086,1,6.3,"35,093",1,,http://www.imdb.com/title/tt1213648/
Looper (2012),No,1,,Pass,Fail,Fail,"Action, Crime, Sci-Fi",Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano","Endgame Entertainment, DMG Entertainment, FilmDistrict","criminal, future, kansas, farm, chase, year 2074, year 2044, strong female character, f word, mother murdered",2012,Restricted,119,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",English,"United States, China",http://ia.media-imdb.com/images/M/MV5BMTY3NTY0MjEwNV5BMl5BanBnXkFtZTcwNTE3NDA1OA@@._V1_SX300.jpg,2585340,114,7.5,"344,712",34,16,http://www.imdb.com/title/tt1276104/
Lore (2012),Yes,3,Clear,Pass,Pass,Pass,"Drama, Thriller, War",Cate Shortland,"Saskia Rosendahl, Nele Trebs, Mike Weidner, Ursina Lardi","Rohfilm, Porchlight Films, Edge City Films","refugee, female protagonist, title directed by female, redhead, holocaust denier, suicide attempt, attempted rape, protective male, rape, blood",2012,Not Rated,109,"As the Allies sweep across Germany, Lore leads her siblings on a journey that exposes them to the truth of their parents' beliefs. An encounter with a mysterious refugee forces Lore to rely on a person she has always been taught to hate.","German, English","Germany, Australia, United Kingdom",http://ia.media-imdb.com/images/M/MV5BMjMxMDA5MDUwNl5BMl5BanBnXkFtZTcwNTM1NjM5OA@@._V1_SX300.jpg,61529,138,7.1,"8,666",28,22,http://www.imdb.com/title/tt1996310/
Los ojos de Julia (Julia's Eyes) (2010),Yes,3,Clear,Pass,Pass,Pass,"Horror, Mystery, Thriller",Guillem Morales,"Belén Rueda, Lluís Homar, Pablo Derqui, Francesc Orella","Antena 3 Films, Canal+ España, Catalan Film and Television","twin sisters, suicide, sister sister relationship, poor eyesight, blindness",2010,Not Rated,118,The story of a woman who is slowly losing her sight whilst trying to investigate the mysterious death of her twin sister.,Spanish,Spain,http://ia.media-imdb.com/images/M/MV5BMjAwMzQ4NDc0NF5BMl5BanBnXkFtZTcwODM5ODkwNQ@@._V1_SX300.jpg,117764,11,6.6,"17,843",11,,http://www.imdb.com/title/tt1512685/
Lost In Living (2013),Yes,3,Clear,Pass,Pass,Pass,"Documentary, Biography, Drama",Mary Trunk,"Kristina Robbins, M. Caren McCaleb, Marjorie Schlossman, Merrill Joan Gerber",Ma and Pa Films,,2013,,110,"Motherhood is an endurance test that never ends. A marathon with no finish line. Behind this domestic curtain, the creative impulse can flourish or languish. Filmed over seven years four women are determined to make a go of it.",English,United States,,,,,,,,http://www.imdb.com/title/tt2628260/
Love & Air Sex (2013),Yes,3,Clear,Pass,Pass,Pass,Comedy,Bryan Poyser,"Ashley Bell, Zach Cregger, Sara Paxton, Michael Stahl-David","Anaphrodisiac, Preferred Content",,2013,,91,"When brokenhearted Stan flies to Austin for the weekend in hopes of ""accidentally"" running into his ex-girlfriend Cathy, he arrives to find their best friends Jeff and Kara in the middle of...",English,United States,http://ia.media-imdb.com/images/M/MV5BMTgxMzg1NjMwN15BMl5BanBnXkFtZTgwNjQ1ODgxMTE@._V1_SX300.jpg,2496,,5.3,471,,,http://www.imdb.com/title/tt2388759/
Love and Other Drugs (2010),No,2,,Pass,Pass,Fail,"Comedy, Drama, Romance",Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria","Twentieth Century Fox, Regency Enterprises, New Regency Pictures","zoloft, fellatio, red bra, masturbation, female stockinged legs, topless female nudity, female in bra and panties, sex in bed, blue bra, caught having sex",2010,Restricted,112,A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.,English,United States,http://ia.media-imdb.com/images/M/MV5BMTgxOTczODEyMF5BMl5BanBnXkFtZTcwMDc0NDY4Mw@@._V1_SX300.jpg,787538,12,6.7,"117,543",7,1,http://www.imdb.com/title/tt0758752/
Love in a puff (2010),No,1,,Pass,Fail,Fail,"Comedy, Drama, Romance",Ho-Cheung Pang,"Miriam Chin Wah Yeung, Shawn Yue, Singh Hartihan Bitto, Yat Ning Chan","Making Film, Media Asia Films","smoke, interview, abstinence, love, cigarette smoking",2010,,104,"Since 2007, the Hong Kong health authorities have implemented an anti-smoking law that bans people from smoking in all indoor areas, including offices, restaurants, bars, and karaoke ...",Cantonese,Hong Kong,http://ia.media-imdb.com/images/M/MV5BMTY4NTA3ODI3N15BMl5BanBnXkFtZTgwMTk0NDA2MDE@._V1_SX300.jpg,9395,12,7.3,"1,287",2,2,http://www.imdb.com/title/tt1602479/
Love Like Poison (2010),Yes,3,Clear,Pass,Pass,Pass,Drama,Katell Quillévéré,"Clara Augarde, Lio, Michel Galabru, Stefano Cassetti","Les Films du Bélier, Arte France, Canal+","confirmation, school, catholic, faith, priest, grandfather, obesity, redhead girl, redhead, erection",2010,,92,Anna a young teenager comes home from her Catholic boarding school for the holidays and discovers her father has left. Her mother is devastated and confined in the company of the local ...,"French, Italian, English",France,http://ia.media-imdb.com/images/M/MV5BMjAzMzU3MTM1OF5BMl5BanBnXkFtZTcwNjg3MzAzNQ@@._V1_SX300.jpg,3155,7,6.6,478,2,1,http://www.imdb.com/title/tt1646985/
Lovelace (2013),Yes,3,Clear,Pass,Pass,Pass,"Biography, Drama","Rob Epstein, Jeffrey Friedman","Amanda Seyfried, Peter Sarsgaard, Sharon Stone, Robert Patrick","Millennium Films, Eclectic Pictures, Untitled Entertainment","prostitute, rape, deep throat, porn industry, bite on the lip, ex u.s. marine, coffee, exploitation, box office, film production assistant",2013,Restricted,93,"The story of Linda Lovelace, who is used and abused by the porn industry at the behest of her coercive husband, before taking control of her life.",English,United States,http://ia.media-imdb.com/images/M/MV5BOTM0Mzc2MjgyN15BMl5BanBnXkFtZTcwOTIzNDQ4OQ@@._V1_SX300.jpg,147194,5,6.2,"23,741",,1,http://www.imdb.com/title/tt1426329/
Lovely Molly (2011),Yes,3,Clear,Pass,Pass,Pass,"Drama, Horror",Eduardo Sánchez,"Gretchen Lodge, Johnny Lewis, Alexandra Holden, Field Blauvelt","Amber Entertainment, Haxan Films","house, newlywed, death, murder, sister sister relationship, bite mark, floorboard, alone in house, sex in kitchen, dead body in a bathtub",2011,Restricted,99,"Newlywed Molly moves into her deceased father's house in the countryside, where painful memories soon begin to haunt her.",English,United States,http://ia.media-imdb.com/images/M/MV5BOTgyNDU1MjU5Nl5BMl5BanBnXkFtZTcwMzc4Mzc1Nw@@._V1_SX300.jpg,34355,9,5.3,"6,482",4,1,http://www.imdb.com/title/tt1707392/
Lucy (2014),Yes,3,Clear,Pass,Pass,Pass,"Action, Sci-Fi, Thriller",Luc Besson,"Scarlett Johansson, Morgan Freeman, Min-sik Choi, Amr Waked","Canal+, Ciné+, EuropaCorp","drugs, professor, torture, police captain, synthetic drug, police, drug mule, briefcase, fictional drug, unsubtitled foreign language",2014,Restricted,89,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","English, French, Korean",France,http://ia.media-imdb.com/images/M/MV5BODcxMzY3ODY1NF5BMl5BanBnXkFtZTgwNzg1NDY4MTE@._V1_SX300.jpg,742729,,6.5,"114,266",,,http://www.imdb.com/title/tt2872732/
Lugen (2014),Yes,3,Clear,Pass,Pass,Pass,Drama,Vanessa Jopp,"Florian David Fitz, Jeanette Hain, Meret Becker, Alina Levshin","Komplizen Film, Erfttal Film, Radio Bremen (RB)",episodic,2014,,106,,"German, Russian",Germany,http://ia.media-imdb.com/images/M/MV5BMTQ5NDIyNjY1Nl5BMl5BanBnXkFtZTgwMzk0OTk5MjE@._V1_SX300.jpg,175,,4.6,38,,,http://www.imdb.com/title/tt2618500/
MacGruber (2010),No,1,,Pass,Fail,Fail,"Action, Comedy",Jorma Taccone,"Will Forte, Kristen Wiig, Ryan Phillippe, Val Kilmer",,"washington d.c., nuclear warhead, team, lieutenant, colonel, ecuador, siberia, male pubic hair, pubic hair, male full frontal nudity",2010,Restricted,90,"Former special operative MacGruber is called back into action to take down his arch-enemy, Dieter Von Cunth, who's in possession of a nuclear warhead and bent on destroying Washington, D.C.","English, Russian",United States,http://ia.media-imdb.com/images/M/MV5BMjE4MDY1ODY5Nl5BMl5BanBnXkFtZTcwNjgzMTEzMw@@._V1_SX300.jpg,172406,1,5.4,"31,927",1,,http://www.imdb.com/title/tt1470023/
Machete (2010),Yes,3,Clear,Pass,Pass,Pass,"Action, Crime, Thriller","Ethan Maniquis, Robert Rodriguez","Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal","Overnight Films, Troublemaker Studios, Dune Entertainment","mexican, machete, texas, mexico, priest, blood, cult film, anti hero, spoof, exploitation",2010,Restricted,105,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.","English, Spanish, Hungarian",United States,http://ia.media-imdb.com/images/M/MV5BMTUwNzIwMDY0OF5BMl5BanBnXkFtZTcwMzM3Njg2Mw@@._V1_SX300.jpg,983922,19,6.7,"146,854",4,3,http://www.imdb.com/title/tt0985694/
Machete Kills (2013),Yes,3,Clear,Pass,Pass,Pass,"Action, Crime, Thriller",Robert Rodriguez,"Danny Trejo, Mel Gibson, Demian Bichir, Amber Heard","AR Films, Aldamisa Entertainment, 1821 Pictures","machete, missile, arms dealer, bomb, battle, mexico, prostitute, brothel, mexican, betrayal",2013,Restricted,107,The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.,"English, Spanish","Russia, United States",http://ia.media-imdb.com/images/M/MV5BMjA2MzUxMTM3M15BMl5BanBnXkFtZTgwMzA2NzkxMDE@._V1_SX300.jpg,248549,2,5.7,"43,605",2,,http://www.imdb.com/title/tt2002718/
Madagascar 3: Europe's Most Wanted (2012),No,2,,Pass,Pass,Fail,"Animation, Adventure, Comedy","Eric Darnell, Tom McGrath, Conrad Vernon","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith","DreamWorks, Pacific Data Images (PDI)","penguin, circus, animal, lemur, giraffe, zebra, lion, zoo, monte carlo, shot from a cannon",2012,Parental guidance,93,"Alex, Marty, Gloria and Melman are still fighting to get home to their beloved Big Apple. Their journey takes them through Europe where they find the perfect cover: a traveling circus, which they reinvent - Madagascar style.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTM2MTIzNzk2MF5BMl5BanBnXkFtZTcwMDcwMzQxNw@@._V1_SX300.jpg,640318,24,7,"91,474",19,1,http://www.imdb.com/title/tt1277953/
Made In Dagenham (2010),Yes,3,Clear,Pass,Pass,Pass,"Biography, Comedy, Drama",Nigel Cole,"Sally Hawkins, Andrea Riseborough, Jaime Winstone, Lorraine Stanley","Audley Films, British Broadcasting Corporation (BBC), BMS Finance","machinist, equal pay, minister, sex, protest, factory, sewing machine, united kingdom, government minister, inequality",2010,Restricted,113,"A dramatization of the 1968 strike at the Ford Dagenham car plant, where female workers walked out in protest against sexual discrimination.",English,United Kingdom,http://ia.media-imdb.com/images/M/MV5BMTgyNzU0NTczMl5BMl5BanBnXkFtZTcwNTMyMjAxNA@@._V1_SX300.jpg,66607,31,7.2,"9,251",16,3,http://www.imdb.com/title/tt1371155/
Madoka Magica: Rebellion Story (2013),Yes,3,Clear,Pass,Pass,Pass,"Animation, Fantasy, Mystery","Yukihiro Miyamoto, Akiyuki Shinbo","Aoi Yuki, Chiwa Saito, Eri Kitamura, Kaori Mizuhashi","Aniplex, Hakuhodo, Hobunsha","magical girl, scene after end credits, glasses, braided hair, lesbian subtext, twist at the end, surrealism, suicide attempt, christ allegory, gun fight",2013,Not Rated,116,Madoka Kaname used to be a normal girl living happy days of her life. This all ended when she sacrificed herself in order to save other magical girls from the utterly cruel fate that ...,Japanese,Japan,http://ia.media-imdb.com/images/M/MV5BMTU4MDUxMzcxMV5BMl5BanBnXkFtZTgwNzI5MDU2MDE@._V1_SX300.jpg,4586,1,7.8,588,1,,http://www.imdb.com/title/tt2457282/
Magic Mike (2012),Yes,3,Clear,Pass,Pass,Pass,"Comedy, Drama",Steven Soderbergh,"Matthew McConaughey, Channing Tatum, Olivia Munn, Alex Pettyfer","Iron Horse Entertainment, Extension 765","stripper, male stripper, bank, money, party, rooftop, raincoat, stage, nightclub, boat",2012,Restricted,110,"A male stripper teaches a younger performer how to party, pick up women, and make easy money.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTQzMDMzOTA5M15BMl5BanBnXkFtZTcwMjc4MTg4Nw@@._V1_SX300.jpg,498468,46,6.1,"81,716",11,7,http://www.imdb.com/title/tt1915581/
Majorite opprimee (2010),No,0,,Fail,Fail,Fail,"Short, Drama",Eleonore Pourriat,"Pierre Bénézit, Tom Colomer, Josie Borrelly-Llop, Céline Porcel","Shadows Films, Région Languedoc-Roussillon, Orange Cinéma Séries","male female power struggle, female police officer, policewoman, police, non statutory female on male rape, threatened with a cutter, cutter, sexually aggressive woman, aggression, homeless",2010,,11,A day in the life of a man suffering from everyday sexism in a world ruled by women.,French,France,,1960,5,6.9,284,,1,http://www.imdb.com/title/tt1684911/
Maleficent (2014),Yes,3,Clear,Pass,Pass,Pass,"Action, Adventure, Family",Robert Stromberg,"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville","Roth Films, Walt Disney Pictures","king, fairy, curse, kingdom, spindle, kiss, sleeping beauty, wings, needle, prince charming",2014,Parental guidance,97,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",English,"United States, United Kingdom",http://ia.media-imdb.com/images/M/MV5BMTQ1NDk3NTk0MV5BMl5BanBnXkFtZTgwMTk3MDcxMzE@._V1_SX300.jpg,1037090,19,7.1,"146,069",9,2,http://www.imdb.com/title/tt1587310/
Mama (2013),Yes,3,Clear,Pass,Pass,Pass,Horror,Andrés Muschietti,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nélisse","Universal Studios, De Milo, Toma 78","children, aunt, forest, hiding in a closet, death of sister, infant skeleton, jumping off a cliff, suicide, tear on cheek, restraining a child",2013,"Parental guidance, Unsuitable for children under 13",100,Annabel and Lucas are faced with the challenge of raising his young nieces that were left alone in the forest for 5 years.... but how alone were they?,English,"Canada, Spain",http://ia.media-imdb.com/images/M/MV5BMTM5MjIwNDAwMl5BMl5BanBnXkFtZTcwNzQyOTY0OA@@._V1_SX300.jpg,649908,67,6.3,"103,160",12,11,http://www.imdb.com/title/tt2023587/
Man of Steel (2013),Yes,3,Clear,Pass,Pass,Pass,"Action, Adventure, Fantasy",Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane","Warner Bros., Legendary Pictures, Syncopy","planet, military, army, hope, general, reporter, american midwest, employer employee relationship, newspaper, newspaper editor",2013,"Parental guidance, Unsuitable for children under 13",143,"Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",English,"United States, Canada, United Kingdom",http://ia.media-imdb.com/images/M/MV5BMjI5OTYzNjI0Ml5BMl5BanBnXkFtZTcwMzM1NDA1OQ@@._V1_SX300.jpg,3118472,62,7.3,"427,188",32,6,http://www.imdb.com/title/tt0770828/
Man of Tai Chi (2013),Yes,3,Dubious,Pass,Pass,Pass,"Action, Drama",Keanu Reeves,"Tiger Hu Chen, Keanu Reeves, Karen Mok, Hai Yu","China Film Group, Company Films, Dalian Wanda Group","tai chi, temple, student, martial artist, master, directorial debut, corrupt cop, corrupt police, loss of innocence, wire fu",2013,Restricted,105,A young martial artist's unparalleled Tai Chi skills land him in a highly lucrative underworld fight club.,"Cantonese, English, Mandarin","United States, China, Hong Kong",http://ia.media-imdb.com/images/M/MV5BMTUxMzU5NjM3Ml5BMl5BanBnXkFtZTgwMTc1OTcxMDE@._V1_SX300.jpg,128741,,6.1,"21,105",,,http://www.imdb.com/title/tt2016940/
Man on a Ledge (2012),No,1,,Pass,Fail,Fail,"Action, Crime, Thriller",Asger Leth,"Sam Worthington, Mandy Gonzalez, William Sadler, Barbara Marineau","Summit Entertainment, Di Bonaventura Pictures","police, diamond, hotel, rooftop, detective, negotiator, prison, heist, new york city, diamond heist",2012,"Parental guidance, Unsuitable for children under 13",102,"As a police psychologist works to talk down an ex-con who is threatening to jump from a Manhattan hotel rooftop, the biggest diamond heist ever committed is in motion.","English, Spanish",United States,http://ia.media-imdb.com/images/M/MV5BMTc5MTE4MzY2N15BMl5BanBnXkFtZTcwNjMwNDc3Ng@@._V1_SX300.jpg,739088,1,6.6,"111,983",1,,http://www.imdb.com/title/tt1568338/
Mandela: Long Walk to Freedom (2013),No,1,,Pass,Fail,Fail,"Biography, Drama, History",Justin Chadwick,"Idris Elba, Naomie Harris, Tony Kgoroge, Riaad Moosa","Videovision Entertainment, Distant Horizon, Film Afrika Worldwide","nelson mandela, president, resistance, africa, apartheid, south africa, argument, injustice, censorship, letter",2013,"Parental guidance, Unsuitable for children under 13",141,A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.,"English, Afrikaans, Xhosa","United Kingdom, South Africa",http://ia.media-imdb.com/images/M/MV5BMTg1NTQ1NDczNV5BMl5BanBnXkFtZTcwNDQyMDU1OQ@@._V1_SX300.jpg,105939,56,7.1,"14,921",26,6,http://www.imdb.com/title/tt2304771/
Mange tes morts (2014),No,0,,Fail,Fail,Fail,Drama,Jean-Charles Hue,"Frédéric Dorkel, Jason François, Michael Dauber, Moïse Dorkel","Capricci Production, Centre National de la Cinématographie, Ciné+",,2014,,94,"18 year old Jason Dorkel belongs to a community of gypsies. He is about to celebrate his baptism when his half-brother Fred returns after fifteen years in prison. Together, with their last ...",French,France,http://ia.media-imdb.com/images/M/MV5BNDA0MDcwNDYxMV5BMl5BanBnXkFtZTgwMjgzMzA4MTE@._V1_SX300.jpg,805,5,6.6,122,,1,http://www.imdb.com/title/tt3720802/
Maps to the Stars (2014),Yes,3,Clear,Pass,Pass,Pass,Drama,David Cronenberg,"Julianne Moore, Mia Wasikowska, John Cusack, Evan Bird","Prospero Pictures, Sentient Entertainment, SBS Productions","male frontal nudity, hollywood, aspiring actor, mother daughter incest, male nudity, actress, fire, child star, personal assistant, ghost",2014,Restricted,111,"A tour into the heart of a Hollywood family chasing celebrity, one another and the relentless ghosts of their pasts.",English,"Canada, United States, Germany, France",http://ia.media-imdb.com/images/M/MV5BMTcxNDQwMjY0NV5BMl5BanBnXkFtZTgwOTgwNzE0MjE@._V1_SX300.jpg,50330,16,6.4,"7,864",1,3,http://www.imdb.com/title/tt2172584/
Margaret (2011),Yes,3,Clear,Pass,Pass,Pass,Drama,Kenneth Lonergan,"Anna Paquin, J. Smith-Cameron, Mark Ruffalo, Jeannie Berlin","Twentieth Century Fox, Gilbert Films, Mirage Enterprises","accident, bus, new york city, loss of virginity, virginity, virgin, borderline personality disorder, abortion, accident investigation, cowboy hat",2011,Restricted,150,"A young woman witnesses a bus accident, and is caught up in the aftermath, where the question of whether or not it was intentional affects many people's lives.",English,United States,http://ia.media-imdb.com/images/M/MV5BMjA1MDQzMjcxN15BMl5BanBnXkFtZTcwNTg3MTI1Ng@@._V1_SX300.jpg,65376,66,6.4,"10,215",6,12,http://www.imdb.com/title/tt0466893/
Margin Call (2011),No,1,,Pass,Fail,Fail,"Drama, Thriller",J.C. Chandor,"Kevin Spacey, Paul Bettany, Jeremy Irons, Zachary Quinto","Before The Door Pictures, Benaroya Pictures, Washington Square Films","financial disaster, financial crisis, capital management, investment fraud, management, risk management, risk, investment, downsizing, global economic crisis of 2008",2011,Restricted,107,"Follows the key people at an investment bank, over a 24-hour period, during the early stages of the financial crisis.",English,United States,http://ia.media-imdb.com/images/M/MV5BMjE5NzkyNDI2Nl5BMl5BanBnXkFtZTcwMTYzNDc2Ng@@._V1_SX300.jpg,543093,63,7.1,"76,492",18,9,http://www.imdb.com/title/tt1615147/
Mars Needs Moms (2011),Yes,3,Dubious,Pass,Pass,Pass,"Animation, Action, Adventure",Simon Wells,"Seth Green, Dan Fogler, Joan Cusack, Elisabeth Harnois","Walt Disney Pictures, ImageMovers","martian, robot, boy, rescue, sexism, claim in title, box office flop, based on children's book, surrogate mother, motion capture",2011,Parental guidance,88,A young boy named Milo gains a deeper appreciation for his mom after Martians come to Earth to take her away.,English,United States,http://ia.media-imdb.com/images/M/MV5BOTA0MTQ2Mzc3N15BMl5BanBnXkFtZTcwNzA4ODAwNA@@._V1_SX300.jpg,83311,2,5.4,"15,428",2,,http://www.imdb.com/title/tt1305591/
Martha Marcy May Marlene (2011),Yes,3,Clear,Pass,Pass,Pass,"Drama, Thriller",Sean Durkin,"Elizabeth Olsen, Christopher Abbott, Brady Corbet, Hugh Dancy","Twentieth Century Fox, Cunningham & Maybach Films, Maybach Film Productions","memory, cult, paranoia, brother in law, peeping, singing and playing acoustic guitar, wanting to have children, undressing, gunshot, teaching someone to shoot",2011,Restricted,102,"Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTc1MTYwMzg1N15BMl5BanBnXkFtZTcwNzM0MDY4Ng@@._V1_SX300.jpg,242277,168,7,"34,611",58,22,http://www.imdb.com/title/tt1441326/
