;A;B;C
R2898;1;0;0
R2899;0;0;0
R2900;1;1;0
R2901;1;0;1
R2902;0;0;1
R2903;0;0;1
R2904;0;1;1
R2905;1;1;0
R2906;1;1;0
R2907;1;1;1
R2908;0;0;0
R2909;0;1;1
R2910;0;0;1
R2911;0;0;1
R2912;1;1;1
R2913;0;0;1
R2914;0;1;0
R2915;0;1;1
R2916;0;1;0
R2917;0;1;1
R2918;0;1;0
R2919;0;0;0
R2920;1;1;0
R2921;0;1;1
R2922;0;0;1
R2923;0;1;0
R2924;0;1;0
R2925;0;1;0
R2926;1;1;0
R2927;1;1;0
R2928;1;1;0
R2929;0;0;0
R2930;0;1;0
R2931;1;0;0
R2932;0;0;0
R2933;1;0;0
R2934;0;0;0
R2935;0;1;0
R2936;0;1;1
R2937;0;0;0
R2938;0;1;1
R2939;1;1;1
R2940;1;1;0
R2941;0;1;1
R2942;1;0;1
R2943;0;1;1
R2944;1;1;0
R2945;1;1;0
R2946;0;0;1
R2947;1;1;0
R2948;0;0;1
R2949;1;0;1
R2950;0;1;1
R2951;1;1;1
R2952;1;0;0
R2953;0;0;1
R2954;0;1;0
R2955;1;1;1
R2956;1;1;1
R2957;1;1;1
R2958;1;1;1
R2959;1;1;0
R2960;0;1;1
R2961;1;0;0
R2962;0;1;0
R2963;1;1;0
R2964;0;0;1
R2965;1;0;0
R2966;0;1;0
R2967;1;1;0
R2968;1;0;1
R2969;1;1;0
R2970;1;1;0
R2971;0;1;1
R2972;0;0;1
R2973;0;1;1
R2974;1;1;0
R2975;1;0;1
R2976;0;1;1
R2977;0;0;0
R2978;0;0;0
R2979;1;1;1
R2980;1;0;1
R2981;1;0;0
R2982;1;1;1
R2983;0;1;0
R2984;0;0;1
R2985;1;0;1
R2986;0;1;1
R2987;1;0;1
R2988;1;1;0
R2989;1;0;1
R2990;0;1;1
R2991;0;1;0
R2992;1;0;1
R2993;1;0;0
R2994;1;0;1
R2995;0;1;0
R2996;0;1;0
R2997;0;0;1
R2998;1;1;1
R2999;0;1;0
R3000;1;1;1
R3001;0;0;1
R3002;1;1;0
R3003;1;0;1
R3004;1;0;1
R3005;0;1;1
R3006;0;0;0
R3007;0;1;1
R3008;0;1;1
R3009;1;1;1
R3010;0;1;0
R3011;1;0;0
R3012;0;1;0
R3013;1;0;1
R3014;0;1;0
R3015;1;0;1
R3016;1;0;1
R3017;0;0;0
R3018;0;0;0
R3019;0;0;0
R3020;0;0;1
R3021;1;0;0
R3022;0;1;0
R3023;1;0;1
R3024;0;1;0
R3025;0;0;0
R3026;1;0;0
R3027;1;0;1
R3028;0;0;1
R3029;1;1;0
R3030;1;1;0
R3031;1;0;1
R3032;0;1;0
R3033;1;1;0
R3034;0;0;0
R3035;0;0;1
R3036;1;0;1
R3037;1;1;1
R3038;1;1;1
R3039;0;1;0
R3040;0;0;1
R3041;1;0;0
R3042;0;1;1
R3043;1;0;1
R3044;1;1;0
R3045;0;1;0
R3046;0;0;0
R3047;0;0;1
R3048;1;1;0
R3049;1;0;1
R3050;1;0;1
R3051;1;1;0
R3052;0;0;0
R3053;1;0;0
R3054;0;0;1
R3055;1;0;0
R3056;0;1;0
R3057;0;0;0
R3058;1;0;0
R3059;0;1;0
R3060;0;1;0
R3061;1;0;0
R3062;1;0;1
R3063;0;1;0
R3064;0;1;0
R3065;0;0;0
R3066;1;1;0
R3067;0;0;0
R3068;0;0;1
R3069;0;0;1
R3070;0;0;1
R3071;1;0;1
R3072;0;1;1
R3073;1;0;0
R3074;0;0;0
R3075;1;0;1
R3076;0;1;0
R3077;1;1;0
R3078;0;0;1
R3079;1;0;1
R3080;1;0;0
R3081;1;1;0
R3082;1;1;0
R3083;1;0;0
R3084;1;0;1
R3085;0;0;1
R3086;1;0;1
R3087;1;1;1
R3088;0;0;0
R3089;0;1;1
R3090;1;1;0
R3091;0;1;0
R3092;0;1;0
R3093;1;1;0
R3094;1;0;1
R3095;0;1;1
R3096;0;1;0
R3097;0;1;1
R3098;1;0;1
R3099;0;1;0
R3100;1;0;0
R3101;0;0;0
R3102;1;0;1
R3103;1;0;0
R3104;1;0;1
R3105;0;1;1
R3106;1;0;0
R3107;1;1;0
R3108;0;0;0
R3109;1;1;1
R3110;1;0;1
R3111;1;0;1
R3112;0;1;1
R3113;0;1;0
R3114;1;1;0
R3115;1;1;1
R3116;1;1;1
R3117;0;0;1
R3118;1;0;1
R3119;1;0;0
R3120;1;0;1
R3121;0;1;1
R3122;0;1;0
R3123;1;1;1
R3124;0;0;1
R3125;0;0;0
R3126;0;1;0
R3127;1;0;1
R3128;1;0;1
R3129;1;1;0
R3130;0;0;0
R3131;0;1;0
R3132;1;1;1
R3133;0;0;1
R3134;0;1;0
R3135;1;0;0
R3136;0;0;1
R3137;0;0;0
R3138;1;0;1
R3139;0;1;0
R3140;1;0;0
R3141;1;0;1
R3142;1;0;1
R3143;0;1;1
R3144;1;1;1
R3145;0;1;1
R3146;0;1;1
R3147;1;1;1
R3148;1;0;1
R3149;1;0;0
R3150;0;1;1
R3151;1;0;0
R3152;0;1;1
R3153;1;1;0
R3154;1;0;0
R3155;1;0;0
R3156;0;0;0
R3157;1;0;1
R3158;0;0;0
R3159;1;1;0
R3160;1;1;0
R3161;0;1;1
R3162;0;0;0
R3163;1;1;1
R3164;0;1;1
R3165;0;0;1
R3166;0;1;0
R3167;1;0;0
R3168;0;1;0
R3169;0;1;1
R3170;0;1;0
R3171;0;1;0
R3172;1;1;0
R3173;0;1;0
R3174;0;1;0
R3175;1;1;1
R3176;1;1;0
R3177;1;1;1
R3178;0;1;0
R3179;0;0;1
R3180;0;1;1
R3181;0;0;1
R3182;0;1;1
R3183;1;1;0
R3184;0;0;1
R3185;1;1;0
R3186;0;1;1
R3187;0;1;0
R3188;1;0;1
R3189;1;0;0
R3190;1;0;0
R3191;0;1;1
R3192;0;1;1
R3193;0;1;0
R3194;0;1;1
R3195;1;1;0
R3196;0;0;0
R3197;0;0;1
R3198;1;0;1
R3199;1;1;0
R3200;0;0;0
R3201;1;1;0
R3202;0;1;0
R3203;1;0;0
R3204;0;1;0
R3205;1;1;1
R3206;0;1;1
R3207;1;1;0
R3208;0;0;0
R3209;1;1;1
R3210;0;1;1
R3211;1;0;0
R3212;1;0;1
R3213;0;0;1
R3214;0;1;1
R3215;0;0;1
R3216;0;0;1
R3217;1;0;0
R3218;0;1;1
R3219;1;0;1
R3220;1;1;1
R3221;0;0;1
R3222;0;0;1
R3223;0;1;0
R3224;0;1;0
R3225;0;1;0
R3226;1;1;1
R3227;1;0;1
R3228;1;0;1
R3229;0;1;0
R3230;1;1;1
R3231;0;0;1
R3232;0;1;0
R3233;1;1;0
R3234;1;1;1
R3235;0;1;1
R3236;0;0;1
R3237;0;1;1
R3238;0;0;1
R3239;1;1;1
R3240;1;0;1
R3241;0;0;1
R3242;0;1;1
R3243;1;0;0
R3244;1;1;0
R3245;1;0;1
R3246;0;1;1
R3247;1;0;0
R3248;0;1;1
R3249;0;1;1
R3250;1;1;0
R3251;0;1;1
R3252;1;1;1
R3253;1;1;1
R3254;0;1;0
R3255;0;1;0
R3256;1;1;1
R3257;0;0;1
R3258;0;1;1
R3259;1;1;0
R3260;0;1;0
R3261;0;1;0
R3262;1;0;0
R3263;1;1;0
R3264;1;0;0
R3265;1;1;0
R3266;0;0;0
R3267;0;1;0
R3268;1;0;1
R3269;0;1;1
R3270;0;1;0
R3271;1;0;1
R3272;1;1;1
R3273;0;1;0
R3274;1;1;1
R3275;1;1;0
R3276;1;1;1
R3277;1;0;1
R3278;0;1;0
R3279;0;1;1
R3280;0;1;1
R3281;0;0;1
R3282;1;1;0
R3283;0;0;0
R3284;1;0;0
R3285;1;0;0
R3286;1;0;0
R3287;1;1;0
R3288;1;0;0
R3289;1;1;1
R3290;0;0;1
R3291;0;0;0
R3292;1;0;0
R3293;1;0;1
R3294;0;0;1
R3295;1;1;1
R3296;0;1;0
R3297;0;0;1
R3298;0;1;1
R3299;0;0;1
R3300;1;0;0
R3301;0;0;1
R3302;0;1;1
R3303;0;1;1
R3304;1;1;1
R3305;0;0;1
R3306;1;0;1
R3307;1;1;1
R3308;0;0;0
R3309;0;0;0
R3310;1;1;0
R3311;0;1;1
R3312;1;0;1
R3313;0;1;0
R3314;1;0;0
R3315;0;0;0
R3316;0;1;1
R3317;0;0;0
R3318;0;1;0
R3319;0;0;1
R3320;0;0;0
R3321;1;0;1
R3322;1;0;1
R3323;1;1;1
R3324;1;0;1
R3325;1;1;0
R3326;1;0;0
R3327;1;0;1
R3328;1;1;1
R3329;0;0;0
R3330;0;1;0
R3331;1;1;0
R3332;1;1;0
R3333;1;0;0
R3334;0;1;0
R3335;0;1;1
R3336;0;0;1
R3337;1;0;0
R3338;1;0;0
R3339;0;0;1
R3340;0;0;1
R3341;1;0;1
R3342;1;0;1
R3343;0;1;0
R3344;0;1;1
R3345;0;0;0
R3346;0;1;1
R3347;1;1;0
R3348;0;1;1
R3349;1;1;1
R3350;1;1;0
R3351;1;1;1
R3352;0;1;0
R3353;0;0;1
R3354;1;0;1
R3355;1;0;0
R3356;0;1;1
R3357;0;1;1
R3358;1;1;1
R3359;0;1;1
R3360;1;1;0
R3361;0;0;0
R3362;1;1;1
R3363;0;0;0
R3364;0;0;0
R3365;1;0;0
R3366;1;1;1
R3367;0;0;1
R3368;1;1;0
R3369;0;0;0
R3370;0;1;1
R3371;0;1;1
R3372;0;1;1
R3373;1;0;1
R3374;0;1;0
R3375;0;1;1
R3376;1;1;1
R3377;0;0;1
R3378;0;0;0
R3379;0;0;0
R3380;0;1;0
R3381;1;1;0
R3382;1;1;0
R3383;0;1;1
R3384;0;1;1
R3385;0;0;1
R3386;0;1;1
R3387;0;1;1
R3388;1;1;1
R3389;0;0;0
R3390;0;0;1
R3391;0;1;1
R3392;0;0;1
R3393;1;1;1
R3394;1;1;1
R3395;0;1;1
R3396;1;0;1
R3397;0;1;1
R3398;0;0;0
R3399;0;1;1
R3400;1;0;0
R3401;0;0;0
R3402;0;1;1
R3403;0;0;0
R3404;0;0;1
R3405;0;0;1
R3406;0;1;1
R3407;1;1;0
R3408;1;1;0
R3409;1;1;0
R3410;0;1;1
R3411;1;1;1
R3412;0;1;0
R3413;1;1;1
R3414;0;0;1
R3415;1;1;0
R3416;0;1;1
R3417;0;1;1
R3418;1;0;0
R3419;1;1;0
R3420;0;0;0
R3421;0;1;1
R3422;0;0;1
R3423;1;1;1
R3424;0;0;0
R3425;1;0;1
R3426;0;0;0
R3427;1;0;0
R3428;1;1;1
R3429;0;1;1
R3430;1;1;1
R3431;1;0;1
R3432;1;1;1
R3433;1;1;0
R3434;1;0;1
R3435;0;1;0
R3436;1;1;0
R3437;0;0;1
R3438;1;0;1
R3439;1;0;0
R3440;1;1;0
R3441;0;0;0
R3442;0;1;1
R3443;0;1;0
R3444;1;1;0
R3445;1;0;1
R3446;1;0;1
R3447;0;1;1
R3448;0;0;0
R3449;1;1;0
R3450;1;0;1
R3451;1;0;0
R3452;1;0;1
R3453;0;0;1
R3454;0;0;1
R3455;1;0;0
R3456;1;0;1
R3457;0;0;1
R3458;0;1;0
R3459;1;0;0
R3460;1;1;0
R3461;0;1;0
R3462;0;1;1
R3463;1;1;0
R3464;1;0;1
R3465;0;0;1
R3466;1;0;0
R3467;1;1;1
R3468;0;0;1
R3469;1;1;0
R3470;0;0;1
R3471;0;0;1
R3472;1;1;0
R3473;1;0;1
R3474;0;0;0
R3475;1;1;0
R3476;1;0;0
R3477;0;0;0
R3478;1;1;0
R3479;1;0;1
R3480;0;0;0
R3481;1;1;1
R3482;0;0;1
R3483;1;0;0
R3484;1;0;1
R3485;1;1;0
R3486;1;1;0
R3487;1;1;0
R3488;0;1;0
R3489;0;1;1
R3490;0;0;1
R3491;1;1;1
R3492;0;0;0
R3493;1;1;0
R3494;1;0;1
R3495;0;0;1
R3496;1;1;0
R3497;0;1;0
R3498;1;1;1
R3499;0;0;1
R3500;0;0;0
R3501;0;0;0
R3502;1;1;1
R3503;1;0;1
R3504;0;0;0
R3505;0;1;1
R3506;1;1;0
R3507;1;0;1
R3508;0;0;1
R3509;0;1;0
R3510;0;0;0
R3511;0;0;1
R3512;0;1;1
R3513;1;1;0
R3514;0;1;0
R3515;0;1;1
R3516;0;0;0
R3517;1;1;0
R3518;1;0;0
R3519;0;0;1
R3520;0;0;0
R3521;0;0;1
R3522;0;0;0
R3523;0;0;0
R3524;1;0;0
R3525;1;1;0
R3526;0;0;0
R3527;1;0;0
R3528;0;0;0
R3529;0;0;1
R3530;0;0;1
R3531;0;1;1
R3532;1;1;0
R3533;1;0;0
R3534;0;1;0
R3535;1;1;1
R3536;1;1;0
R3537;1;1;0
R3538;1;0;0
R3539;0;1;0
R3540;0;0;1
R3541;1;0;1
R3542;1;0;1
R3543;0;1;1
R3544;0;0;1
R3545;1;0;1
R3546;1;1;0
R3547;1;1;0
R3548;1;1;0
R3549;0;0;0
R3550;1;0;1
R3551;1;0;1
R3552;0;0;0
R3553;1;0;0
R3554;0;0;1
R3555;0;1;0
R3556;0;0;0
R3557;1;1;0
R3558;1;1;0
R3559;1;0;1
R3560;1;0;1
R3561;0;0;0
R3562;1;0;0
R3563;0;1;1
R3564;1;0;1
R3565;1;1;1
R3566;0;1;0
R3567;1;0;1
R3568;0;0;0
R3569;1;1;1
R3570;0;0;1
R3571;1;1;1
R3572;0;0;1
R3573;1;0;1
R3574;1;1;0
R3575;1;0;0
R3576;1;1;1
R3577;1;0;1
R3578;0;0;1
R3579;0;1;0
R3580;1;0;1
R3581;0;0;1
R3582;0;1;1
R3583;0;1;0
R3584;0;1;1
R3585;1;0;1
R3586;0;0;0
R3587;1;1;0
R3588;0;1;1
R3589;0;0;0
R3590;0;0;1
R3591;1;0;0
R3592;0;0;1
R3593;1;0;0
R3594;0;1;1
R3595;0;1;0
R3596;1;0;1
R3597;0;1;0
R3598;0;1;1
R3599;1;1;1
R3600;1;0;1
R3601;0;1;1
R3602;0;0;1
R3603;0;0;0
R3604;0;0;0
R3605;0;0;1
R3606;0;1;1
R3607;1;0;0
R3608;1;0;0
R3609;1;1;1
R3610;0;1;0
R3611;1;0;0
R3612;1;0;0
R3613;1;0;1
R3614;1;1;0
R3615;0;1;0
R3616;0;0;0
R3617;0;0;1
R3618;1;1;0
R3619;0;0;0
R3620;0;0;0
R3621;1;1;0
R3622;0;1;0
R3623;1;1;1
R3624;0;0;0
R3625;0;0;0
R3626;1;0;1
R3627;1;0;0
R3628;1;0;0
R3629;1;1;1
R3630;1;0;1
R3631;0;0;0
R3632;0;1;0
R3633;0;1;1
R3634;1;0;0
R3635;0;0;1
R3636;1;1;0
R3637;0;0;0
R3638;1;0;1
R3639;1;1;1
R3640;1;0;1
R3641;0;0;0
R3642;0;0;0
R3643;1;0;0
R3644;1;0;0
R3645;0;0;1
R3646;1;0;0
R3647;1;1;0
R3648;0;0;0
R3649;0;1;1
R3650;0;0;0
R3651;1;1;0
R3652;1;1;1
R3653;0;1;1
R3654;0;0;1
R3655;0;1;0
R3656;1;0;1
R3657;0;0;1
R3658;0;0;0
R3659;0;0;0
R3660;1;0;0
R3661;0;1;0
R3662;1;0;0
R3663;0;0;1
R3664;1;0;1
R3665;1;1;1
R3666;0;0;0
R3667;0;0;0
R3668;1;0;1
R3669;0;1;0
R3670;1;1;0
R3671;1;0;1
R3672;1;1;0
R3673;0;0;0
R3674;0;0;0
R3675;0;0;0
R3676;1;0;1
R3677;0;0;0
R3678;0;1;1
R3679;0;1;1
R3680;1;0;0
R3681;0;0;0
R3682;1;0;0
R3683;1;1;0
R3684;1;1;1
R3685;1;0;1
R3686;0;1;0
R3687;0;0;1
R3688;1;1;1
R3689;0;0;1
R3690;1;0;1
R3691;1;1;1
R3692;1;0;1
R3693;0;1;0
R3694;0;1;0
R3695;0;0;1
R3696;1;1;1
R3697;1;0;1
R3698;0;0;1
R3699;0;1;1
R3700;1;1;1
R3701;0;0;1
R3702;0;1;1
R3703;0;1;0
R3704;1;0;0
R3705;0;0;1
R3706;1;1;0
R3707;0;1;1
R3708;1;1;0
R3709;0;1;0
R3710;0;1;1
R3711;0;1;0
R3712;0;1;1
R3713;0;1;0
R3714;0;1;1
R3715;0;1;1
R3716;1;0;0
R3717;0;1;1
R3718;0;1;0
R3719;1;0;1
R3720;0;0;1
R3721;0;0;0
R3722;1;1;0
R3723;1;0;0
R3724;0;0;0
R3725;1;1;1
R3726;1;0;0
R3727;0;1;1
R3728;1;0;0
R3729;0;1;0
R3730;1;1;1
R3731;0;0;1
R3732;1;0;1
R3733;1;0;0
R3734;1;1;0
R3735;0;1;0
R3736;0;1;1
R3737;1;1;1
R3738;1;0;0
R3739;1;0;0
R3740;1;0;1
R3741;0;0;1
R3742;0;0;0
R3743;0;0;0
R3744;0;1;0
R3745;0;1;1
R3746;0;1;1
R3747;0;0;0
R3748;0;0;1
R3749;1;1;0
R3750;0;0;1
R3751;1;0;0
R3752;1;0;0
R3753;1;0;1
R3754;0;1;1
R3755;0;0;0
R3756;1;0;0
R3757;0;0;1
R3758;0;1;0
R3759;0;0;0
R3760;1;1;0
R3761;1;1;0
R3762;1;1;0
R3763;0;0;1
R3764;0;1;0
R3765;1;1;0
R3766;1;1;0
R3767;0;1;0
R3768;1;0;1
R3769;0;0;0
R3770;0;1;0
R3771;0;1;1
R3772;1;0;0
R3773;0;0;1
R3774;1;0;0
R3775;1;0;0
R3776;0;1;1
R3777;1;1;0
R3778;1;0;0
R3779;0;0;0
R3780;0;1;0
R3781;0;0;1
R3782;0;1;1
R3783;0;1;1
R3784;0;1;1
R3785;0;0;1
R3786;0;1;0
R3787;0;1;0
R3788;1;0;1
R3789;0;1;1
R3790;0;0;1
R3791;1;0;1
R3792;0;0;1
R3793;0;0;1
R3794;1;0;1
R3795;0;0;1
R3796;0;1;0
R3797;1;1;1
R3798;1;0;0
R3799;1;0;0
R3800;0;0;0
R3801;1;1;0
R3802;0;0;0
R3803;1;0;0
R3804;0;1;0
R3805;1;0;0
R3806;0;0;0
R3807;0;1;1
R3808;1;0;1
R3809;0;0;0
R3810;1;0;0
R3811;1;0;1
R3812;0;1;0
R3813;1;1;0
R3814;0;1;1
R3815;1;1;0
R3816;0;0;1
R3817;1;1;0
R3818;1;1;0
R3819;0;1;1
R3820;1;1;1
R3821;1;1;1
R3822;1;0;0
R3823;0;1;0
R3824;0;0;1
R3825;1;0;0
R3826;0;0;0
R3827;1;0;0
R3828;0;0;0
R3829;0;0;0
R3830;1;1;1
R3831;0;1;0
R3832;0;0;1
R3833;1;1;1
R3834;1;1;0
R3835;0;0;0
R3836;1;0;0
R3837;0;0;1
R3838;1;1;0
R3839;0;1;1
R3840;0;1;0
R3841;1;0;0
R3842;0;1;1
R3843;1;1;0
R3844;1;0;1
R3845;0;0;0
R3846;0;0;0
R3847;1;1;1
R3848;1;0;0
R3849;1;1;1
R3850;0;0;0
R3851;1;1;1
R3852;1;1;0
R3853;1;0;1
R3854;1;1;0
R3855;0;1;0
R3856;0;1;0
R3857;0;1;1
R3858;1;1;0
R3859;1;0;0
R3860;0;0;0
R3861;0;0;1
R3862;1;1;0
R3863;1;1;0
R3864;0;0;1
R3865;0;1;1
R3866;1;1;0
R3867;1;0;1
R3868;1;1;0
R3869;0;1;0
R3870;1;0;0
R3871;0;0;0
R3872;0;1;1
R3873;1;1;1
R3874;1;0;0
R3875;1;0;0
R3876;1;1;0
R3877;0;0;1
R3878;1;1;1
R3879;1;1;0
R3880;0;1;0
R3881;1;0;1
R3882;0;1;0
R3883;0;1;1
R3884;1;1;1
R3885;0;0;1
R3886;0;1;1
R3887;0;0;1
R3888;0;0;0
R3889;0;0;0
R3890;1;1;1
R3891;1;0;0
R3892;1;1;0
R3893;1;1;0
R3894;0;0;0
R3895;0;0;1
R3896;0;1;1
R3897;1;1;1
R3898;1;1;1
R3899;1;0;1
R3900;0;1;1
R3901;1;1;1
R3902;1;1;1
R3903;0;1;0
R3904;0;0;1
R3905;1;1;0
R3906;0;1;1
R3907;0;0;1
R3908;1;0;0
R3909;1;1;0
R3910;1;0;0
R3911;0;0;1
R3912;1;1;0
R3913;0;1;0
R3914;0;1;0
R3915;0;0;1
R3916;0;1;0
R3917;1;0;0
R3918;0;1;1
R3919;1;0;0
R3920;0;1;1
R3921;0;1;1
R3922;0;0;1
R3923;1;1;0
R3924;1;0;1
R3925;0;1;1
R3926;0;1;1
R3927;1;1;1
R3928;0;1;1
R3929;1;1;1
R3930;0;0;1
R3931;1;0;0
R3932;0;0;0
R3933;1;0;0
R3934;0;0;1
R3935;1;1;0
R3936;1;0;1
R3937;0;0;0
R3938;1;1;1
R3939;0;0;1
R3940;1;1;0
R3941;1;1;1
R3942;1;0;0
R3943;0;0;1
R3944;0;1;0
R3945;1;0;1
R3946;1;0;1
R3947;1;1;1
R3948;1;0;0
R3949;0;0;0
R3950;0;1;1
R3951;1;0;1
R3952;0;1;0
R3953;1;0;0
R3954;1;1;1
R3955;0;1;0
R3956;0;1;0
R3957;1;1;1
R3958;1;1;1
R3959;1;0;1
R3960;1;0;0
R3961;0;0;0
R3962;0;1;0
R3963;1;0;1
R3964;0;0;1
R3965;0;1;1
R3966;1;1;1
R3967;1;1;1
R3968;1;1;0
R3969;0;1;1
R3970;0;1;0
R3971;1;1;1
R3972;0;1;1
R3973;1;0;1
R3974;1;1;0
R3975;0;0;0
R3976;1;0;1
R3977;1;0;1
R3978;0;0;1
R3979;0;0;1
R3980;1;0;0
R3981;0;1;1
R3982;0;0;0
R3983;1;0;0
R3984;0;1;0
R3985;1;0;0
R3986;1;1;0
R3987;0;1;1
R3988;1;1;1
R3989;1;1;0
R3990;1;0;1
R3991;0;1;0
R3992;0;1;1
R3993;0;1;1
R3994;0;0;0
R3995;0;0;0
R3996;1;1;1
R3997;1;1;0
R3998;1;1;0
R3999;0;1;1
R4000;0;1;1
R4001;0;1;0
R4002;0;0;0
R4003;1;0;1
R4004;1;1;0
R4005;1;1;0
R4006;1;1;1
R4007;1;1;1
R4008;1;0;0
R4009;0;1;1
R4010;0;0;1
R4011;0;1;0
R4012;1;0;0
R4013;0;1;1
R4014;0;1;0
R4015;1;0;0
R4016;0;1;0
R4017;0;1;1
R4018;0;0;1
R4019;1;0;0
R4020;1;1;1
R4021;0;0;0
R4022;0;0;0
R4023;1;0;0
R4024;0;1;0
R4025;0;0;1
R4026;0;1;1
R4027;0;1;1
R4028;0;0;1
R4029;0;1;1
R4030;1;0;1
R4031;1;1;1
R4032;0;0;0
R4033;1;0;1
R4034;0;1;0
R4035;0;0;1
R4036;1;0;0
R4037;0;0;0
R4038;1;0;0
R4039;0;0;0
R4040;0;1;1
R4041;0;0;0
R4042;0;1;1
R4043;1;0;0
R4044;0;0;0
R4045;0;1;0
R4046;0;1;1
R4047;0;0;0
R4048;0;0;1
R4049;1;1;0
R4050;0;1;0
R4051;0;1;1
R4052;1;1;1
R4053;0;1;1
R4054;0;0;0
R4055;1;1;0
R4056;1;1;0
R4057;0;0;1
R4058;0;0;0
R4059;0;1;0
R4060;1;1;1
R4061;1;1;1
R4062;1;0;1
R4063;1;0;1
R4064;1;1;1
R4065;1;0;1
R4066;0;1;0
R4067;0;1;0
R4068;1;1;1
R4069;0;1;1
R4070;0;0;1
R4071;0;1;1
R4072;0;0;1
R4073;1;0;0
R4074;1;1;1
R4075;0;1;1
R4076;1;1;0
R4077;0;0;0
R4078;1;1;0
R4079;0;0;0
R4080;1;1;1
R4081;1;0;1
R4082;0;0;1
R4083;0;1;1
R4084;0;1;0
R4085;1;1;1
R4086;0;0;1
R4087;0;1;1
R4088;1;1;1
R4089;0;1;1
R4090;0;1;1
R4091;0;1;0
R4092;0;0;1
R4093;0;0;0
R4094;0;0;0
R4095;1;1;0
R4096;0;0;0
R4097;0;1;1
R4098;1;1;0
R4099;1;0;1
R4100;1;1;1
R4101;0;0;1
R4102;0;1;1
R4103;1;1;0
R4104;1;0;0
R4105;1;0;0
R4106;0;0;0
R4107;1;0;0
R4108;0;1;1
R4109;1;0;1
R4110;0;0;0
R4111;1;0;0
R4112;1;0;0
R4113;1;1;0
R4114;0;0;0
R4115;0;0;1
R4116;0;0;1
R4117;1;0;1
R4118;0;1;1
R4119;0;1;1
R4120;0;0;1
R4121;1;0;0
R4122;1;1;1
R4123;0;0;0
R4124;0;1;1
R4125;1;1;1
R4126;0;0;0
R4127;0;1;1
R4128;0;1;0
R4129;0;0;1
R4130;1;0;1
R4131;1;0;0
R4132;0;0;0
R4133;1;1;0
R4134;1;0;1
R4135;0;1;1
R4136;1;1;1
R4137;1;1;1
R4138;0;1;1
R4139;1;1;1
R4140;1;1;1
R4141;0;0;0
R4142;1;0;1
R4143;1;1;1
R4144;1;1;1
R4145;0;0;0
R4146;1;1;1
R4147;1;1;1
R4148;1;1;0
R4149;0;1;0
R4150;1;1;0
R4151;1;1;1
R4152;0;0;1
R4153;0;0;1
R4154;0;0;0
R4155;0;1;0
R4156;0;0;1
R4157;0;1;1
R4158;0;1;0
R4159;1;1;0
R4160;0;1;0
R4161;0;1;1
R4162;1;0;0
R4163;1;0;1
R4164;0;0;0
R4165;0;0;1
R4166;0;0;0
R4167;1;0;0
R4168;0;1;1
R4169;0;1;0
R4170;1;1;1
R4171;1;0;0
R4172;0;0;0
R4173;1;1;1
R4174;1;0;0
R4175;1;1;1
R4176;0;1;1
R4177;0;0;1
R4178;1;1;0
R4179;1;0;1
R4180;1;1;0
R4181;1;0;0
R4182;1;0;0
R4183;1;1;1
R4184;0;1;0
R4185;1;1;1
R4186;0;1;1
R4187;0;1;0
R4188;0;0;0
R4189;0;0;0
R4190;0;1;0
R4191;1;0;0
R4192;0;0;1
R4193;1;1;0
R4194;0;1;1
R4195;0;1;0
R4196;1;1;0
R4197;1;1;0
R4198;0;1;0
R4199;0;1;1
R4200;1;0;0
R4201;0;1;1
R4202;0;0;0
R4203;0;0;1
R4204;0;0;1
R4205;1;0;1
R4206;0;0;0
R4207;0;0;0
R4208;0;0;1
R4209;1;0;1
R4210;0;1;0
R4211;0;0;1
R4212;1;1;0
R4213;1;1;1
R4214;1;0;0
R4215;1;0;1
R4216;1;0;0
R4217;0;1;0
R4218;0;0;1
R4219;1;1;0
R4220;0;0;0
R4221;0;1;0
R4222;0;1;0
R4223;1;1;0
R4224;1;1;0
R4225;1;0;0
R4226;0;0;0
R4227;1;1;1
R4228;1;1;0
R4229;1;1;1
R4230;1;0;0
R4231;0;0;1
R4232;0;0;1
R4233;1;0;1
R4234;0;1;0
R4235;0;1;0
R4236;1;1;0
R4237;0;1;1
R4238;1;1;0
R4239;1;0;1
R4240;0;1;1
R4241;1;0;1
R4242;1;0;0
R4243;1;0;0
R4244;0;0;0
R4245;1;0;1
R4246;0;1;1
R4247;0;1;0
R4248;1;0;1
R4249;0;0;1
R4250;1;0;0
R4251;0;1;0
R4252;1;1;1
R4253;0;1;1
R4254;1;0;0
R4255;0;1;1
R4256;0;0;1
R4257;0;0;1
R4258;1;0;1
R4259;1;1;0
R4260;1;0;0
R4261;1;1;0
R4262;1;1;1
R4263;1;1;1
R4264;1;1;1
R4265;0;0;0
R4266;0;1;0
R4267;0;1;1
R4268;1;0;1
R4269;1;0;1
R4270;0;1;1
R4271;1;0;0
R4272;0;1;0
R4273;0;1;0
R4274;1;0;0
R4275;1;0;0
R4276;1;0;1
R4277;0;0;0
R4278;1;1;0
R4279;1;0;1
R4280;1;0;1
R4281;1;1;0
R4282;0;0;0
R4283;0;0;0
R4284;0;1;1
R4285;0;0;0
R4286;0;1;0
R4287;0;1;1
R4288;0;1;0
R4289;0;0;1
R4290;1;0;0
R4291;0;0;0
R4292;1;1;1
R4293;1;0;1
R4294;1;0;0
R4295;0;1;1
R4296;0;0;0
